bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
0,0.0,51.3284,0.0906841,185.674,0.86734,0.0,185.674,0.86734,566.0132261333574,214.07291258330068,429962599.8257308,429.9625998257308,45.66597256743257,429.946614239438,38.0,391.9625998257308,4066.261428397754,0.0,4066.261428397754,0.2,20331.30714198877,0.0,0.0,0.0,0.0
1,3.75,50.8295,0.0866176,185.741,0.894048,0.0,185.741,0.894048,586.8264648293188,207.75282758867536,430322051.2522064,430.3220512522064,45.16707256743257,430.3060656659136,36.06328740122878,394.25876385097763,4021.849407805585,0.0,4021.849407805585,0.2,20109.247039027923,56557.25729726604,282786.28648633015,2262290.2918906417,0.0007945719431042527
2,7.5,47.4604,0.0833424,187.381,0.861861,0.0,187.381,0.861861,569.4628424427423,217.41440905203973,439228291.87049454,439.22829187049456,41.797972567432566,439.21230628420176,34.23847134592593,404.98982052456864,3721.932513483924,0.0,3721.932513483924,0.2,18609.66256741962,209358.70388347073,1046793.5194173536,8374348.155338829,0.002941276859946292
3,11.25,44.0345,0.0659704,186.377,0.882748,0.0,186.377,0.882748,667.4887525314384,211.13273550322404,433751239.68323135,433.75123968323135,38.37207256743257,433.73525409693855,32.51885340007681,401.23238628315454,3416.959289698172,0.0,3416.959289698172,0.2,17084.79644849086,432458.9101024249,2162294.5505121243,17298356.404096995,0.006075607851822784
4,15.0,42.9203,0.0549159,186.092,0.874188,0.0,186.092,0.874188,781.564173581786,212.8741186106421,432210741.7324588,432.21074173245876,37.257872567432564,432.19475614616596,30.898139760816136,401.3126019716426,3317.773333907844,0.0,3317.773333907844,0.2,16588.86666953922,746499.0001292649,3732495.0006463244,29859960.005170595,0.010487551720206281
5,18.75,40.9847,0.0544772,188.469,0.871106,0.0,188.469,0.871106,752.3275792441608,216.3559888234038,445253345.46574616,445.2533454657462,35.32227256743256,445.2373598794534,29.370416759027677,415.88292870671853,3145.466444635039,0.0,3145.466444635039,0.2,15727.332223175194,1105828.0469420059,5529140.234710029,44233121.877680235,0.01553575937000687
6,22.5,39.022,0.0509281,187.682,0.888569,0.0,187.682,0.888569,766.2174712977708,211.21826217209914,440885719.8242453,440.88571982424526,33.359572567432565,440.86973423795246,27.930127845898994,412.95559197834626,2970.7471164805993,0.0,2970.7471164805993,0.2,14853.735582402996,1503940.7277183034,7519703.638591517,60157629.108732134,0.02112883763185103
7,26.25,37.6121,0.0511426,185.305,0.876585,0.0,185.305,0.876585,735.435820627031,211.39421733203287,427989034.72253186,427.98903472253187,31.949672567432565,427.97304913623907,26.572051973526886,401.416982749005,2845.237980716119,0.0,2845.237980716119,0.2,14226.189903580595,1960546.796087201,9802733.980436003,78421871.84348804,0.027543688498295117
8,30.0,35.8627,0.0562847,187.23,0.876242,0.0,187.23,0.876242,637.1660504542086,213.6738480921937,438399517.46316,438.39951746315995,30.200272567432563,438.38353187686715,25.29128328511626,413.1082341780437,2689.5065940175014,0.0,2689.5065940175014,0.2,13447.532970087506,2420555.9346157513,12102779.673078755,96822237.38463004,0.034006349039367924
9,33.75,34.1304,0.0547469,187.163,0.870764,0.0,187.163,0.870764,623.4216001271305,214.94113215521085,438032357.23769933,438.03235723769933,28.467972567432568,438.01637165140653,24.083212035431963,413.94914520226735,2535.297447351207,0.0,2535.297447351207,0.2,12676.487236756035,2887862.2486234843,14439311.24311742,115514489.94493936,0.04057152747428399
10,37.5,32.5558,0.054392,185.891,0.871106,0.0,185.891,0.871106,598.5402265038975,213.39653268373766,431128032.5782515,431.12803257825146,26.893372567432564,431.11204699195866,22.943506666970173,408.1845259112813,2395.12673653856,0.0,2395.12673653856,0.2,11975.6336826928,3368146.9732573503,16840734.86628675,134725878.930294,0.04731903937872122
11,41.25,30.9504,0.0561186,184.82,0.869394,0.0,184.82,0.869394,551.5176786306145,212.58485795853204,425410656.39653563,425.4106563965356,25.287972567432565,425.3946708102428,21.868096971831555,403.54255942470405,2252.2142132700333,0.0,2252.2142132700333,0.2,11261.071066350165,3832283.247267291,19161416.23633645,153291329.89069164,0.05383968197577788
