day,timestamp,pbls_km,pbls_m,min_pbls_m,max_pbls_m
16-02-2026,2026-02-16 00:05:00,,,,
16-02-2026,2026-02-16 00:35:00,,,,
16-02-2026,2026-02-16 01:05:00,,,,
16-02-2026,2026-02-16 01:35:00,,,,
16-02-2026,2026-02-16 02:05:00,,,,
16-02-2026,2026-02-16 02:35:00,,,,
16-02-2026,2026-02-16 03:05:00,,,,
16-02-2026,2026-02-16 03:35:00,,,,
16-02-2026,2026-02-16 04:05:00,,,,
16-02-2026,2026-02-16 04:35:00,,,,
16-02-2026,2026-02-16 05:05:00,,,,
16-02-2026,2026-02-16 05:35:00,,,,
16-02-2026,2026-02-16 06:05:00,,,,
16-02-2026,2026-02-16 06:35:00,,,,
16-02-2026,2026-02-16 07:05:00,,,,
16-02-2026,2026-02-16 07:35:00,,,,
16-02-2026,2026-02-16 08:05:00,,,,
16-02-2026,2026-02-16 08:35:00,,,,
16-02-2026,2026-02-16 09:05:00,,,,
16-02-2026,2026-02-16 09:35:00,,,,
16-02-2026,2026-02-16 10:05:00,,,,
16-02-2026,2026-02-16 10:35:00,,,,
16-02-2026,2026-02-16 11:05:00,,,,
16-02-2026,2026-02-16 11:35:00,,,,
16-02-2026,2026-02-16 12:05:00,,,,
16-02-2026,2026-02-16 12:35:00,,,,
16-02-2026,2026-02-16 13:05:00,,,,
16-02-2026,2026-02-16 13:35:00,,,,
16-02-2026,2026-02-16 14:05:00,,,,
16-02-2026,2026-02-16 14:35:00,,,,
16-02-2026,2026-02-16 15:05:00,,,,
16-02-2026,2026-02-16 15:35:00,,,,
16-02-2026,2026-02-16 16:05:00,,,,
16-02-2026,2026-02-16 16:35:00,,,,
16-02-2026,2026-02-16 17:05:00,,,,
16-02-2026,2026-02-16 17:35:00,,,,
16-02-2026,2026-02-16 18:05:00,,,,
16-02-2026,2026-02-16 18:35:00,,,,
16-02-2026,2026-02-16 19:05:00,,,,
16-02-2026,2026-02-16 19:35:00,,,,
16-02-2026,2026-02-16 20:05:00,,,,
16-02-2026,2026-02-16 20:35:00,,,,
16-02-2026,2026-02-16 21:05:00,,,,
16-02-2026,2026-02-16 21:35:00,,,,
16-02-2026,2026-02-16 22:05:00,,,,
16-02-2026,2026-02-16 22:35:00,,,,
16-02-2026,2026-02-16 23:05:00,,,,
16-02-2026,2026-02-16 23:35:00,,,,
