range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
3.1778,3177.8,3267.7379,0.030715456,100.24769,0.07273093,,0.15063481001057308
3.2077794,3207.7794000000004,3297.717,0.032336753,105.56855,0.06709826,,0.13896884925216874
3.2377586,3237.7585999999997,3327.6963,0.030834446,100.63224,0.06987867,,0.14472742448421233
3.2677379,3267.7379,3357.6756,0.031369925,102.34104,0.0678761,,0.14057985272233778
3.297717,3297.717,3387.6548,0.02881154,93.96273,0.06745997,,0.13971799568998994
3.3276963,3327.6963,3417.634,0.029674252,96.73139,0.06945434,,0.1438485842310795
3.3576756,3357.6756,3447.6132000000002,0.028499182,92.85928,0.06530596,,0.1352567728359597
3.3876548,3387.6548,3477.5925,0.026996877,87.76157,0.06891003,,0.14272125046211964
3.417634,3417.634,3507.5717,0.027606722,89.8395,0.06984059,,0.14464855606378646
3.4476132,3447.6132000000002,3537.5512,0.026372157,85.748764,0.06802177,,0.14088155342620945
3.4775925,3477.5925,3567.5304,0.026431652,85.89477,0.06967719,,0.14431013432277853
3.5075717,3507.5717,3597.5096,0.026238285,85.29333,0.0658521,,0.13638789676272886
3.537551,3537.551,3627.4889,0.025598692,83.12097,0.06451846,,0.13362576230325612
3.5675302,3567.5302,3657.4680000000003,0.025747433,83.6062,0.068181194,,0.1412117403762612
3.5975094,3597.5094,3687.4473000000003,0.024036888,78.008354,0.07061799,,0.14625864823918175
3.6274889,3627.4889,3717.4265,0.023427041,75.92443,0.06319201,,0.1308785192288375
3.657468,3657.4680000000003,3747.4058,0.023025434,74.52835,0.06693041,,0.13862121100719818
3.6874473,3687.4473000000003,3777.385,0.023798898,77.12938,0.06497491,,0.1345711270748784
3.7174265,3717.4265,3807.3642,0.022251971,71.91489,0.06612441,,0.1369518846715041
3.7474058,3747.4058,3837.3435,0.022772571,73.66544,0.065123305,,0.13487847159297434
3.777385,3777.385,3867.3226999999997,0.021300016,68.82004,0.066661336,,0.13806392525725955
3.8073642,3807.3642,3897.3019999999997,0.021894986,70.723724,0.06651953,,0.13777022737840167
3.8373435,3837.3435,3927.2811,0.020556299,66.1909,0.06334211,,0.131189395014182
3.8673227,3867.3226999999997,3957.2606,0.02121077,68.38925,0.06680551,,0.1383625275589002
3.897302,3897.3019999999997,3987.2398,0.019931577,64.25187,0.06452373,,0.1336366771292972
3.9272811,3927.2811,4017.219,0.019024245,61.14173,0.058629505,,0.12142900340596421
3.9572604,3957.2604,4047.1983,0.020184439,65.15198,0.06506363,,0.1347548772392739
3.9872396,3987.2396,4077.1775000000002,0.019098617,61.42211,0.062594935,,0.1296419025763753
4.017219,4017.219,4107.156800000001,0.017893797,57.43068,0.061499782,,0.12737370438218876
4.0471983,4047.1983,4137.1359999999995,0.01859289,59.673286,0.06287822,,0.1302286210763841
4.0771775,4077.1775000000002,4167.115,0.017819427,57.154778,0.06569149,,0.1360552534590368
4.1071568,4107.156800000001,4197.0944,0.017298825,55.50326,0.062422734,,0.1292852528687663
