day,time_tag,k_scale,r2_overlap,gemini_r1,gemini_r2,gemini_conf,gemini_reason
25-03-2026,00.05,77.94571075041699,0.992737577320716,,,,
25-03-2026,00.35,67.70138952596345,0.992032153306477,,,,
25-03-2026,01.05,57.57249725026732,0.9928424225079822,,,,
25-03-2026,01.35,79.66116550521332,0.995432259985239,,,,
25-03-2026,02.05,69.80628959536503,0.9939274429232229,,,,
25-03-2026,02.35,67.43440169641698,0.9952568172237046,,,,
25-03-2026,03.05,74.0855977835427,0.9960137647767277,,,,
25-03-2026,03.35,73.25799700672786,0.9941383005105642,,,,
25-03-2026,04.05,77.13212928775613,0.996443460328005,,,,
25-03-2026,04.35,77.01725529026642,0.9958496110202735,,,,
25-03-2026,05.05,82.75659434331368,0.9963121334084687,,,,
25-03-2026,05.35,80.2684036746255,0.9960778364877342,,,,
25-03-2026,06.05,91.21140133187289,0.9939678391741297,,,,
25-03-2026,06.35,49.64282195498292,0.9917050621905326,,,,
25-03-2026,07.05,16.548699502365768,0.9791274391515843,,,,
25-03-2026,07.35,7.181054200468556,0.9515458741559328,,,,
25-03-2026,08.05,5.574005001703193,0.9538405995761492,,,,
25-03-2026,08.35,5.166860533232057,0.9516342609608192,,,,
25-03-2026,09.05,6.560251691475965,0.9743497253831603,,,,
25-03-2026,09.35,5.912843327107841,0.9693836639494113,,,,
25-03-2026,10.05,5.859859121899125,0.9867429473545121,,,,
25-03-2026,10.35,6.626037643166902,0.9500329230790264,,,,
25-03-2026,11.05,5.912843327107841,0.9693836639494113,,,,
25-03-2026,11.35,5.912843327107841,0.9693836639494113,,,,
25-03-2026,12.05,5.912843327107841,0.9693836639494113,,,,
25-03-2026,12.35,5.912843327107841,0.9693836639494113,,,,
25-03-2026,13.05,7.36559538572691,0.9544518683291303,,,,
25-03-2026,13.35,8.670642738694406,0.9517655613234313,,,,
25-03-2026,14.05,9.643945643627738,0.9409137886360731,,,,
25-03-2026,14.35,8.639490829155571,0.9281930703901234,,,,
25-03-2026,15.05,7.352739401545186,0.9525433332560683,,,,
25-03-2026,15.35,6.8951149567838605,0.9591714032269205,,,,
25-03-2026,16.05,6.010281078059091,0.9405642889356383,,,,
25-03-2026,16.35,5.286167725702044,0.9044605214430788,,,,
25-03-2026,17.05,7.83210653627707,0.9218958939867868,,,,
25-03-2026,17.35,12.621445825424887,0.9692550290456605,,,,
25-03-2026,18.05,21.4606431398125,0.9837208253903879,,,,
25-03-2026,18.35,66.59808410905396,0.9919498824965424,,,,
25-03-2026,19.05,92.7028660739101,0.9983338775851754,,,,
25-03-2026,19.35,94.00979503756476,0.9977015759370123,,,,
25-03-2026,20.05,89.01988493118661,0.9943940667801154,,,,
25-03-2026,20.35,67.6666431844604,0.9952877528521644,,,,
25-03-2026,21.05,77.93825684921772,0.9957153186325899,,,,
25-03-2026,21.35,65.40609025582029,0.9953677536653205,,,,
25-03-2026,22.05,70.77050289191266,0.9969271365737293,,,,
25-03-2026,22.35,60.42292691261727,0.9956618977695305,,,,
25-03-2026,23.05,78.69030382182657,0.9946389860395489,,,,
25-03-2026,23.35,59.32923438526588,0.9962120208061588,,,,
