day,timestamp,pbls_km,pbls_m,min_pbls_m,max_pbls_m
11-02-2026,2026-11-02 00:05:00,,,,
11-02-2026,2026-11-02 00:35:00,,,,
11-02-2026,2026-11-02 01:05:00,,,,
11-02-2026,2026-11-02 01:35:00,,,,
11-02-2026,2026-11-02 02:05:00,,,,
11-02-2026,2026-11-02 02:35:00,,,,
11-02-2026,2026-11-02 03:05:00,,,,
11-02-2026,2026-11-02 03:35:00,,,,
11-02-2026,2026-11-02 04:05:00,,,,
11-02-2026,2026-11-02 04:35:00,,,,
11-02-2026,2026-11-02 05:05:00,,,,
11-02-2026,2026-11-02 05:35:00,,,,
11-02-2026,2026-11-02 06:05:00,,,,
11-02-2026,2026-11-02 06:35:00,,,,
11-02-2026,2026-11-02 07:05:00,,,,
11-02-2026,2026-11-02 07:35:00,,,,
11-02-2026,2026-11-02 08:05:00,,,,
11-02-2026,2026-11-02 08:35:00,,,,
11-02-2026,2026-11-02 09:05:00,,,,
11-02-2026,2026-11-02 09:35:00,,,,
11-02-2026,2026-11-02 10:05:00,,,,
11-02-2026,2026-11-02 10:35:00,,,,
11-02-2026,2026-11-02 11:05:00,,,,
11-02-2026,2026-11-02 11:35:00,,,,
11-02-2026,2026-11-02 12:05:00,,,,
11-02-2026,2026-11-02 12:35:00,,,,
11-02-2026,2026-11-02 13:05:00,,,,
11-02-2026,2026-11-02 13:35:00,,,,
11-02-2026,2026-11-02 14:05:00,,,,
11-02-2026,2026-11-02 14:35:00,,,,
11-02-2026,2026-11-02 15:05:00,,,,
11-02-2026,2026-11-02 15:35:00,,,,
11-02-2026,2026-11-02 16:05:00,,,,
11-02-2026,2026-11-02 16:35:00,,,,
11-02-2026,2026-11-02 17:05:00,,,,
11-02-2026,2026-11-02 17:35:00,,,,
11-02-2026,2026-11-02 18:05:00,,,,
11-02-2026,2026-11-02 18:35:00,,,,
11-02-2026,2026-11-02 19:05:00,,,,
11-02-2026,2026-11-02 19:35:00,,,,
11-02-2026,2026-11-02 20:05:00,,,,
11-02-2026,2026-11-02 20:35:00,,,,
11-02-2026,2026-11-02 21:05:00,,,,
11-02-2026,2026-11-02 21:35:00,,,,
11-02-2026,2026-11-02 22:05:00,,,,
11-02-2026,2026-11-02 22:35:00,,,,
11-02-2026,2026-11-02 23:05:00,,,,
11-02-2026,2026-11-02 23:35:00,,,,
