range_m,00.05,00.35,01.05,01.35,02.05,02.35,03.05,03.35,04.05,04.35,05.05,05.35,06.05,06.35,07.05,07.35,08.05,08.35,09.05,09.35,10.05,10.35,11.05,11.35,12.05,12.35,13.05,13.35,14.05,14.35,15.05,15.35,16.05,16.35,17.05,17.35,18.05,18.35,19.05,19.35,20.05,20.35,21.05,21.35,22.05,22.35,23.05,23.35
0.0,33.5099,32.3561,36.6669,33.1886,34.395,32.8224,33.6072,34.2789,36.7084,33.9667,33.8816,34.5828,34.162,34.5893,40.1473,46.4789,45.1381,43.4669,40.1313,35.7827,31.1949,33.9726,30.6123,29.2938,29.8211,29.3447,29.7349,30.2491,28.9122,31.2808,33.7555,34.4337,37.2089,36.1641,45.3588,38.1839,33.6991,32.7179,36.9142,32.1536,39.6011,33.9174,37.9868,38.6214,39.0177,38.615,36.4773,45.41
3.75,69.7117,71.2555,76.2117,73.1992,73.9479,70.696,72.8273,75.7923,76.4833,73.3678,76.7086,77.8936,73.7108,79.2327,83.3782,93.1367,86.0649,76.7904,66.477,58.2902,50.2419,53.3861,47.2662,43.3537,42.5019,42.0516,42.9355,43.8946,42.1605,48.9449,53.9743,56.9861,61.9606,58.2293,84.5149,76.0379,71.5243,68.8505,76.326,70.7451,81.4248,74.0545,81.9549,85.3176,81.531,80.8371,79.4718,92.8731
7.5,248.256,284.193,276.44,285.811,272.717,268.5,278.057,292.116,275.366,264.168,301.976,312.445,279.621,317.155,273.92,270.577,219.222,158.478,129.623,118.034,108.756,108.668,101.412,89.7132,81.0416,85.2006,85.1463,90.3704,88.7446,101.042,110.423,120.719,120.104,110.124,244.969,254.769,280.646,254.236,281.26,284.12,292.733,283.106,286.607,307.221,287.003,274.669,287.384,308.175
11.25,472.333,473.819,473.724,473.898,473.614,473.377,473.781,474.06,473.709,473.346,474.109,474.241,473.495,474.278,473.539,473.151,456.623,382.064,322.217,301.162,284.137,281.049,268.083,238.708,214.418,226.605,225.291,239.147,235.737,264.792,284.007,308.344,303.928,277.377,469.956,469.225,473.757,472.526,473.818,473.815,474.235,473.761,474.163,474.478,474.206,473.738,474.109,474.726
15.0,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.464,498.255,495.001,488.079,477.719,476.6,465.406,432.21,401.425,412.754,413.86,430.587,422.482,464.004,477.708,490.395,488.987,469.111,473.464,473.485,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
18.75,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,479.929,499.905,500.0,500.0,500.0,500.0,499.876,496.476,497.043,498.224,499.438,499.087,500.0,500.0,499.978,499.955,499.021,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
22.5,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.458,487.014,499.954,500.0,499.97,500.0,499.989,500.0,500.0,499.999,500.0,500.0,500.0,499.981,499.887,492.896,495.342,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
26.25,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,484.19,499.957,499.989,499.983,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.978,499.923,490.263,494.15,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
30.0,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.556,499.397,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.989,499.99,498.969,496.548,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
