a2621814.050144
Narit-cm 18/02/2026 13:35:02 18/02/2026 14:05:01 0045 0013.384714 0052.542598 00.0 00.0
0002390 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002390 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002390 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002390 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002390 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
32.5626	0.0953615	162.377	0.898842	0
49.2016	0.128462	181.707	0.889597	0
103.465	0.626215	94.0753	1.28303	0
276.245	1.35599	0.251046	0.0729346	0
474.949	0.692306	21.5565	0.698529	1
499.989	0.0110994	138.695	1.31317	1
499.989	0.0110994	125.69	1.36521	1
500	0	19.4812	0.61943	1
500	0	12.3682	0.460892	1
500	0	30.5607	0.692708	1
500	0	74.9623	0.964928	1
500	0	139.682	1.07827	1
500	0	158.979	1.0632	1
500	0	122.678	1.05087	1
500	0	96.8536	0.986843	1
499.989	0.0111057	92.4854	0.954313	1
499.989	0.0111057	95.6987	0.9865	1
499.158	0.0669882	101.925	0.978282	1
481.77	0.321641	103.247	0.975543	1
441.524	0.377726	116.251	0.974516	1
400.158	0.358974	140.636	0.997458	1
362.859	0.327783	170.695	0.974516	0
330.145	0.302113	188.335	0.93822	0
301.179	0.275869	201.674	0.938562	0
275.891	0.251072	207.481	0.939589	0
253.727	0.230038	209.808	0.908087	0
234	0.211805	211.029	0.919387	0
216.471	0.195879	211.464	0.925893	0
200.773	0.181044	208.971	0.876242	0
186.541	0.168866	208.502	0.915278	0
173.573	0.159382	206.109	0.897472	0
161.684	0.151968	204.285	0.89713	0
150.665	0.147529	203.113	0.910826	0
140.269	0.144068	200.017	0.906033	0
130.433	0.139563	198.879	0.914251	0
121.224	0.136714	195.632	0.881721	0
112.624	0.134318	194.611	0.885145	0
104.528	0.132077	192.552	0.896787	0
96.8042	0.130559	190.042	0.885145	0
89.5048	0.129369	189.155	0.877612	0
82.6512	0.128871	185.506	0.880351	0
76.0739	0.127616	183.314	0.883433	0
69.783	0.125897	182.996	0.902266	0
63.8571	0.124683	181.841	0.881379	0
58.2879	0.122669	180.603	0.881721	0
53.101	0.118846	178.795	0.869737	0
48.3153	0.113559	176.921	0.855698	0
43.9808	0.106708	176.1	0.86734	0
40.1347	0.0988213	174.594	0.879667	0
36.7999	0.0899907	171.816	0.859464	0
33.9825	0.08032	171.213	0.861861	0
31.6175	0.0706708	168.268	0.860491	0
29.6658	0.061322	165.724	0.834468	0
28.0969	0.0525908	163.766	0.859464	0
26.81	0.04567	160.268	0.874188	0
25.7519	0.0391088	158.594	0.858437	0
24.943	0.033507	156.385	0.845425	0
24.3011	0.0292242	155.481	0.842343	0
23.7518	0.0263578	153.305	0.859807	0
23.2952	0.0237643	153.255	0.84474	0
22.9035	0.0219673	150.008	0.858094	0
22.5877	0.0201714	149.389	0.843713	0
22.3425	0.0197497	148.703	0.846452	0
22.0975	0.0185516	146.159	0.841658	0
21.8588	0.0177871	146.577	0.841658	0
21.6809	0.0175529	146.444	0.842001	0
21.517	0.0170371	144.218	0.821114	0
21.3683	0.0168307	143.598	0.848507	0
21.2691	0.0168788	144.033	0.843371	0
21.1366	0.0168146	140.619	0.83618	0
20.9823	0.0164661	142.126	0.832756	0
20.8902	0.016551	141.255	0.827619	0
20.8051	0.0167686	140.971	0.828304	0
20.6745	0.0166315	142.41	0.871106	0
20.5736	0.0165643	139.799	0.800226	0
20.5343	0.0161853	141.188	0.850904	0
20.474	0.0161282	141.69	0.855698	0
20.3772	0.016182	138.745	0.833098	0
20.308	0.0162847	138.276	0.839946	0
20.2441	0.0160803	138.946	0.865285	0
20.1957	0.0161097	139.665	0.845767	0
20.1296	0.015832	140.017	0.845425	0
20.0686	0.0161171	138.326	0.848164	0
20.0082	0.0159751	137.69	0.827277	0
