analog,analog_sterr,photon_counting,pc_sterr,overflow_info
24.6376,0.134638,182.965,0.852678,0.0
54.0836,0.299952,194.572,0.867355,0.0
229.374,2.18481,121.219,1.3367,0.0
470.705,0.185698,1.78706,0.170672,0.0
473.457,1.1003e-05,0.0,0.0,0.0
473.457,0.0,0.0167015,0.0167259,0.0
473.457,6.38041e-06,17.8372,0.592573,0.0
473.457,6.38041e-06,23.0647,0.67552,0.0
473.457,6.38041e-06,3.72443,0.276489,0.0
473.457,0.0,11.9749,0.491194,0.0
473.457,0.0,39.7662,0.76939,0.0
473.457,0.0,91.7912,0.994677,0.0
473.457,0.0,149.061,1.03291,0.0
473.457,0.0,131.741,1.06568,0.0
473.457,0.0,91.1566,0.978292,0.0
473.457,0.0,81.0355,0.899442,0.0
473.457,0.0,82.8894,0.911389,0.0
473.457,8.98466e-06,92.5929,0.903196,0.0
473.457,0.0,112.0,0.945182,0.0
473.457,0.0,119.466,0.918557,0.0
473.457,0.0,120.084,0.917192,0.0
473.457,0.0,132.91,0.961566,0.0
473.457,0.0,154.472,0.919581,0.0
473.457,0.0,170.071,0.908658,0.0
473.457,0.0,187.19,0.905927,0.0
473.457,0.0,195.19,0.899783,0.0
473.457,0.0,200.551,0.902514,0.0
473.457,0.0,203.507,0.895346,0.0
473.457,0.0,203.958,0.897735,0.0
473.457,0.0,205.762,0.894663,0.0
473.457,0.0,202.438,0.883057,0.0
473.457,0.0,202.205,0.89398,0.0
473.457,0.0,201.67,0.879644,0.0
473.457,1.42583e-05,202.154,0.902855,0.0
474.279,0.0810287,202.572,0.911047,1.0
487.898,0.250114,202.121,0.893639,1.0
499.617,0.0584854,201.587,0.894663,1.0
499.989,0.0110825,202.405,0.87862,1.0
500.0,0.0,201.787,0.886129,1.0
500.0,0.0,202.255,0.898418,1.0
499.65,0.048012,201.67,0.877937,1.0
491.734,0.274213,199.716,0.88374,1.0
458.493,0.497122,202.789,0.848923,1.0
413.932,0.514726,201.203,0.872134,1.0
372.682,0.500993,203.791,0.87862,0.0
333.007,0.515626,202.088,0.867355,0.0
293.861,0.522754,202.639,0.898759,0.0
256.872,0.519194,200.868,0.884423,0.0
221.224,0.513034,202.489,0.903538,0.0
187.215,0.497722,204.409,0.91173,0.0
156.278,0.468539,202.104,0.851312,0.0
128.516,0.436567,200.919,0.904562,0.0
103.948,0.398831,201.921,0.859504,0.0
82.9127,0.349861,201.537,0.849605,0.0
65.3265,0.29955,199.649,0.868721,0.0
51.0058,0.254543,198.764,0.882374,0.0
39.5855,0.212213,197.228,0.849264,0.0
30.7067,0.174249,195.925,0.880668,0.0
23.9584,0.140647,193.954,0.86087,0.0
18.7799,0.11055,192.568,0.847899,0.0
14.9313,0.0885525,191.916,0.863601,0.0
12.1816,0.0727913,188.192,0.864283,0.0
10.0847,0.057115,189.127,0.858139,0.0
8.57158,0.0461623,184.685,0.830149,0.0
7.52743,0.0383619,184.701,0.857456,0.0
6.70768,0.0324158,181.578,0.843461,0.0
6.12381,0.0278293,177.637,0.857798,0.0
5.69236,0.0260414,175.916,0.828442,0.0
5.33356,0.0238294,174.681,0.835269,0.0
5.11939,0.0225411,171.591,0.842779,0.0
4.96782,0.0214021,169.019,0.85336,0.0
4.81143,0.0205378,168.15,0.850288,0.0
4.75231,0.0204049,167.132,0.835952,0.0
