bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
0,0.0,99.7746,0.244432,196.946,0.888089,0.0,196.946,0.888089,408.18959874320876,221.76380970826122,495654610.081651,495.65461008165096,94.10150144855146,495.6484247896379,38.0,457.65461008165096,7561.503850796736,0.0,7561.503850796736,0.2,37807.51925398368,0.0,0.0,0.0,0.0
1,3.75,104.727,0.266938,195.428,0.888429,0.0,195.428,0.888429,392.32705721927937,219.97030713765534,486151009.8054102,486.1510098054102,99.05390144855146,486.1448245133971,36.06328740122878,450.0877224041814,7959.025093154951,0.0,7959.025093154951,0.2,39795.12546577475,111923.7903724915,559618.9518624574,4476951.6148996595,0.0016892608775762252
2,7.5,106.118,0.237663,195.962,0.883316,0.0,195.962,0.883316,446.50618733248336,221.848126831168,489469029.93503684,489.4690299350368,100.44490144855145,489.46284464302374,34.23847134592593,455.2305585891109,8070.678442666354,0.0,8070.678442666354,0.2,40353.39221333177,453975.66239998245,2269878.311999912,18159026.495999295,0.006851834836112967
3,11.25,107.304,0.175589,197.063,0.883657,0.0,197.063,0.883657,611.108896343165,223.00847500783672,496396332.3554849,496.3963323554849,101.63090144855146,496.39014706347183,32.51885340007681,463.8774789554081,8165.87676942446,0.0,8165.87676942446,0.2,40829.3838471223,1033493.7786302832,5167468.8931514155,41339751.145211324,0.015598476442302939
4,15.0,111.136,0.124231,197.647,0.900021,0.0,197.647,0.900021,894.5915270745627,219.60265371585774,500118699.3386491,500.1186993386491,105.46290144855145,500.112514046636,30.898139760816136,469.22055957783294,8473.465292305624,0.0,8473.465292305624,0.2,42367.326461528115,1906529.6907687653,9532648.453843826,76261187.63075061,0.02877516931685987
5,18.75,110.761,0.110275,199.683,0.860474,0.0,199.683,0.860474,1004.4071639084108,232.06163114748384,513363472.0742746,513.3634720742746,105.08790144855145,513.3572867822616,29.370416759027677,483.9930553152469,8443.36464092764,0.0,8443.36464092764,0.2,42216.8232046382,2968370.3815761236,14841851.90788062,118734815.26304494,0.04480148446603162
6,22.5,110.121,0.126295,197.714,0.868997,0.0,197.714,0.868997,871.93475592858,227.51977279553324,500547905.44775283,500.54790544775284,104.44790144855145,500.54172015573977,27.930127845898994,472.61777760185385,8391.99286257588,0.0,8391.99286257588,0.2,41959.9643128794,4248446.386679039,21242231.933395196,169937855.46716157,0.0641216156780629
7,26.25,111.655,0.151828,200.0,0.884679,0.0,200.0,0.884679,735.4045367125959,226.07069908972633,515463917.52577317,515.4639175257731,105.98190144855145,515.4577322337601,26.572051973526886,488.89186555224626,8515.124593812756,0.0,8515.124593812756,0.2,42575.62296906378,5867453.040424102,29337265.20212051,234698121.61696407,0.08855721236045795
8,30.0,112.478,0.184742,198.965,0.878884,0.0,198.965,0.878884,608.8382717519568,226.38368658435016,508644515.349067,508.644515349067,106.80490144855145,508.6383300570539,25.29128328511626,483.3532320639507,8581.185490036973,0.0,8581.185490036973,0.2,42905.92745018486,7723066.941033276,38615334.70516638,308922677.641331,0.11656391188120718
9,33.75,113.041,0.225538,198.949,0.882634,0.0,198.949,0.882634,501.2060051964636,225.4037347303639,508539961.2684612,508.53996126846124,107.36790144855145,508.53377597644817,24.083212035431963,484.45674923302926,8626.376601305787,0.0,8626.376601305787,0.2,43131.88300652893,9825982.097424872,49129910.48712436,393039283.8969949,0.14830311844963942
10,37.5,113.167,0.266964,199.199,0.880247,0.0,199.199,0.880247,423.9035974888,226.2989819902823,510176614.7081276,510.1766147081276,107.49390144855145,510.17042941611453,22.943506666970173,487.23310804115744,8636.49042016879,0.0,8636.49042016879,0.2,43182.45210084395,12145064.65336236,60725323.2668118,485802586.13449436,0.1833049301339721
11,41.25,108.798,0.301986,193.592,0.896271,0.0,193.592,0.896271,360.27497963481756,215.99717049865498,474945957.94474155,474.94595794474156,103.12490144855146,474.9397726527285,21.868096971831555,453.07786097291,8285.797764514351,0.0,8285.797764514351,0.2,41428.98882257175,14098802.75868145,70494013.79340725,563952110.347258,0.21279261398886593
12,45.0,94.1735,0.31355,185.465,0.901043,0.0,185.465,0.901043,300.3460373146229,205.83368385304584,428843515.6451059,428.8435156451059,88.50040144855146,428.83733035309285,20.853158273520616,407.99035737158533,7111.91249497479,0.0,7111.91249497479,0.2,35559.56247487395,14401622.80232395,72008114.01161975,576064912.092958,0.21736306367582475
13,48.75,73.4412,0.247705,188.469,0.891498,0.0,188.469,0.891498,296.48654649684096,211.4070923322318,445253345.46574616,445.2533454657462,67.76810144855145,445.2471601737331,19.895096566880543,425.3582488988656,5447.763869471351,0.0,5447.763869471351,0.2,27238.819347356755,12946951.32104051,64734756.60520254,517878052.8416203,0.19540777057075912
14,52.5,59.9463,0.179122,190.955,0.886725,0.0,190.955,0.886725,334.66743336943534,215.34861428289494,459382353.2029744,459.3823532029744,54.27320144855145,459.3761679109613,18.99053455811675,440.39181864485766,4364.5497887226475,0.0,4364.5497887226475,0.2,21822.748943613235,12029790.355166797,60148951.77583398,481191614.20667183,0.18156510018822286
15,56.25,52.3433,0.137167,191.172,0.875475,0.0,191.172,0.875475,381.6027178548776,218.3637453953568,460640237.2085663,460.6402372085663,46.670201448551445,460.63405191655323,18.13629855037899,442.50393865818734,3754.26911558447,0.0,3754.26911558447,0.2,18771.345577922348,11878742.123528987,59393710.61764493,475149684.9411595,0.1792853358281737
16,60.0,43.4806,0.122025,189.337,0.869338,0.0,189.337,0.869338,356.3253431673838,217.7944596923176,450128495.7249003,450.1284957249003,37.80750144855145,450.1223104328872,17.329406123675696,432.7990896012246,3042.874334337367,0.0,3042.874334337367,0.2,15214.371671686835,10954347.603614522,54771738.018072605,438173904.14458084,0.16533348973057083
17,63.75,37.6157,0.12611,193.525,0.876156,0.0,193.525,0.876156,298.2769011180715,220.87961504572246,474542897.67258817,474.5428976725882,31.942601448551443,474.5367123805751,16.56705456099788,457.97584311159034,2572.1081736260558,0.0,2572.1081736260558,0.2,12860.540868130278,10453208.374377143,52266041.87188571,418128334.9750857,0.1577698172409955
18,67.5,36.8578,0.122079,193.876,0.855361,0.0,193.876,0.855361,301.91761072747977,226.65985472800372,476658963.782809,476.658963782809,31.184701448551444,476.6527784907959,15.846609975445318,460.8123538073637,2511.272750481057,0.0,2511.272750481057,0.2,12556.363752405283,11441986.469379315,57209932.34689657,457679458.7751726,0.1726934018241535
