analog,analog_sterr,photon_counting,pc_sterr,overflow_info
27.8057,0.147434,179.623,0.892304,0.0
64.6594,0.425838,194.571,0.883041,0.0
287.766,2.36444,98.7516,1.33417,0.0
473.881,0.025882,0.150817,0.050087,0.0
473.457,0.0,0.0,0.0,0.0
473.457,0.0,0.0502723,0.0291603,0.0
473.457,0.0,18.7683,0.558505,0.0
473.457,6.41252e-06,9.90364,0.445637,0.0
473.457,0.0,7.05488,0.372908,0.0
473.457,0.0,22.589,0.599672,0.0
473.457,0.0,66.3762,0.913917,0.0
473.457,6.41252e-06,129.904,1.04702,0.0
473.457,6.41252e-06,158.944,1.04634,0.0
473.457,0.0,121.776,1.06521,0.0
473.457,0.0,94.8974,0.93553,0.0
473.457,0.0,83.1169,0.87618,0.0
473.457,0.0,87.5241,0.927639,0.0
473.457,0.0,104.03,0.936216,0.0
473.457,0.0,116.581,0.931413,0.0
473.457,0.0,117.185,0.915632,0.0
473.457,0.0,130.993,0.946164,0.0
473.457,0.0,149.778,0.887844,0.0
473.457,0.0,169.853,0.921807,0.0
473.457,0.0,184.633,0.922493,0.0
473.457,0.0,192.861,0.902939,0.0
473.457,0.0,200.268,0.900537,0.0
473.457,0.0,203.77,0.895048,0.0
473.457,0.0,205.463,0.899851,0.0
473.457,0.0,204.943,0.90534,0.0
473.457,0.0,203.904,0.879267,0.0
473.457,0.0,203.921,0.868289,0.0
473.457,2.38834e-05,203.083,0.871377,0.0
481.94,0.23642,202.111,0.906712,1.0
498.718,0.109436,203.72,0.899508,1.0
499.762,0.0464972,202.447,0.907055,1.0
499.992,0.00757678,201.575,0.896077,1.0
500.0,0.0,200.62,0.877552,1.0
499.982,0.00772139,200.989,0.884756,1.0
487.805,0.287743,200.654,0.889216,1.0
446.67,0.43556,202.614,0.880297,1.0
400.065,0.535715,202.028,0.866231,1.0
351.344,0.569611,201.693,0.884756,1.0
306.054,0.56172,202.581,0.891961,0.0
262.242,0.565534,202.162,0.893676,0.0
220.11,0.560577,202.765,0.880297,0.0
181.831,0.534706,203.888,0.879953,0.0
147.495,0.508259,202.313,0.902253,0.0
117.145,0.473422,202.681,0.886129,0.0
91.3144,0.430481,201.24,0.888873,0.0
70.0197,0.386257,200.067,0.893676,0.0
52.9866,0.341407,198.106,0.860399,0.0
39.8793,0.292175,196.431,0.873778,0.0
30.1085,0.243755,194.571,0.881326,0.0
22.9101,0.202476,194.906,0.857654,0.0
17.7152,0.165936,192.828,0.874808,0.0
14.0326,0.131422,189.811,0.833297,0.0
11.4726,0.105166,191.37,0.867603,0.0
9.64383,0.0849282,188.052,0.846333,0.0
8.29841,0.0658499,187.214,0.856625,0.0
7.38374,0.0518207,185.237,0.853195,0.0
6.73193,0.0443024,184.013,0.863487,0.0
6.19941,0.0364706,181.081,0.861085,0.0
5.87271,0.0311445,178.383,0.850793,0.0
5.68141,0.0286283,176.808,0.855596,0.0
5.51919,0.0252334,174.998,0.840501,0.0
5.39192,0.0233273,173.004,0.869662,0.0
5.3078,0.0221923,171.429,0.85937,0.0
5.27306,0.0215993,170.457,0.849421,0.0
5.23471,0.0210479,166.954,0.82575,0.0
5.20986,0.0202476,166.435,0.840158,0.0
5.21819,0.0198219,165.396,0.840501,0.0
5.21242,0.0192723,162.145,0.856968,0.0
5.19205,0.0191659,162.966,0.841531,0.0
5.18087,0.0187235,160.922,0.85491,0.0
5.21052,0.0188182,160.034,0.844618,0.0
5.21922,0.0186118,157.302,0.839815,0.0
5.19032,0.0177905,158.81,0.847363,0.0
5.22512,0.0180084,156.649,0.839472,0.0
5.2804,0.0172387,156.615,0.856968,0.0
5.31952,0.017499,156.062,0.832954,0.0
5.39867,0.0177546,154.571,0.830553,0.0
5.47328,0.017028,154.772,0.816144,0.0
5.51999,0.0173881,152.643,0.853881,0.0
5.5289,0.0169655,152.61,0.830896,0.0
5.55459,0.0166662,150.18,0.84599,0.0
5.62907,0.0166702,149.811,0.868289,0.0
5.63764,0.0164152,149.661,0.835699,0.0
5.64915,0.0164821,147.415,0.849078,0.0
5.71797,0.0159938,148.152,0.852165,0.0
5.75458,0.0164426,147.214,0.831239,0.0
5.78416,0.0158753,145.337,0.841531,0.0
5.81846,0.0165769,146.242,0.843246,0.0
5.84624,0.015781,147.667,0.853538,0.0
5.90202,0.0156487,145.706,0.825064,0.0
5.94318,0.0155577,143.863,0.847706,0.0
5.97322,0.0154845,143.41,0.865202,0.0
6.03152,0.0152138,143.511,0.852852,0.0
6.07011,0.0157328,142.79,0.853881,0.0
6.0864,0.0154585,144.65,0.835699,0.0
6.12504,0.0152634,143.092,0.852165,0.0
6.17336,0.0151462,141.634,0.844275,0.0
6.21951,0.0152091,140.142,0.860399,0.0
6.26261,0.0153277,141.818,0.837414,0.0
6.29456,0.0151299,140.712,0.843932,0.0
6.33993,0.0145524,141.332,0.849764,0.0
6.39299,0.0149081,141.483,0.849078,0.0
6.42366,0.0153346,140.025,0.8628,0.0
6.44734,0.0149886,139.455,0.850793,0.0
6.47058,0.0150848,139.757,0.848049,0.0
6.48301,0.0146291,137.679,0.84256,0.0
6.49892,0.0147274,138.266,0.857311,0.0
6.55638,0.0146589,137.696,0.839129,0.0
6.58056,0.0143574,138.433,0.845647,0.0
6.57188,0.0143688,136.607,0.843932,0.0
6.59645,0.0143999,136.171,0.842903,0.0
6.62662,0.0140896,136.389,0.852165,0.0
6.63136,0.013951,136.238,0.842217,0.0
6.6289,0.0143673,134.696,0.8381,0.0
6.64735,0.0140629,136.188,0.843246,0.0
6.68746,0.0138525,135.869,0.853195,0.0
6.6787,0.013592,134.864,0.82129,0.0
6.64432,0.0134913,132.049,0.861771,0.0
6.65987,0.013447,133.657,0.838786,0.0
6.68277,0.0134787,134.78,0.840158,0.0
6.65831,0.0131792,131.529,0.841874,0.0
6.64254,0.013055,132.25,0.852852,0.0
6.63649,0.0131952,132.082,0.83364,0.0
6.6229,0.0130185,130.993,0.853195,0.0
6.6233,0.0128843,130.842,0.85045,0.0
6.62428,0.0129594,129.418,0.846333,0.0
6.61533,0.0130665,128.563,0.830553,0.0
6.60581,0.0128986,128.831,0.839815,0.0
6.59779,0.012488,129.669,0.817859,0.0
6.57671,0.0129676,126.15,0.8381,0.0
6.5497,0.0123796,125.312,0.852165,0.0
6.52185,0.0125689,126.385,0.848392,0.0
6.49541,0.0123777,124.826,0.824034,0.0
6.47797,0.0121825,124.91,0.851822,0.0
6.46387,0.0119671,123.938,0.840158,0.0
6.43121,0.0119063,122.849,0.840158,0.0
6.41384,0.0117669,120.603,0.848735,0.0
6.40647,0.0115929,121.123,0.848049,0.0
6.37304,0.0119312,120.536,0.840844,0.0
6.32699,0.0115381,118.911,0.83021,0.0
6.29846,0.0112676,118.844,0.843589,0.0
6.28044,0.0114011,117.654,0.832268,0.0
6.24972,0.0116369,116.414,0.826093,0.0
6.21006,0.0114372,115.559,0.83364,0.0
6.17207,0.0109339,113.414,0.832954,0.0
6.15238,0.0110825,114.286,0.84256,0.0
6.12758,0.0106675,112.509,0.833297,0.0
6.08839,0.0107781,112.643,0.861771,0.0
6.06202,0.0107563,111.42,0.823005,0.0
6.0364,0.0107523,109.728,0.845304,0.0
5.99947,0.0106187,108.99,0.850107,0.0
5.94967,0.010265,106.728,0.853538,0.0
5.91556,0.0104116,105.589,0.861085,0.0
5.8956,0.0101118,104.952,0.832954,0.0
5.86733,0.0100626,105.153,0.855253,0.0
5.84781,0.00998704,104.65,0.85937,0.0
5.81053,0.0100453,101.885,0.825407,0.0
5.77368,0.00997087,100.863,0.827808,0.0
5.76074,0.00983615,100.31,0.835699,0.0
5.72402,0.00937687,100.008,0.837414,0.0
5.67666,0.00973132,98.9527,0.827122,0.0
5.65883,0.00959411,96.7072,0.845304,0.0
5.63664,0.00964443,96.858,0.8381,0.0
5.60722,0.00937595,94.4114,0.837414,0.0
5.57866,0.00897595,93.6406,0.840158,0.0
5.5473,0.0092443,93.2719,0.81683,0.0
5.52594,0.0092636,90.3058,0.821633,0.0
5.50943,0.00900946,89.8701,0.808597,0.0
5.49306,0.00883691,89.669,0.83364,0.0
5.46714,0.00864518,88.6636,0.827465,0.0
5.43759,0.00878737,87.7252,0.838786,0.0
5.40338,0.00835773,85.597,0.814086,0.0
5.38007,0.00848239,87.7252,0.855253,0.0
5.36384,0.0084814,83.8877,0.819575,0.0
5.33465,0.00816981,83.8877,0.817173,0.0
5.30154,0.00823348,81.7428,0.815458,0.0
5.27742,0.00842062,80.5698,0.816144,0.0
5.26407,0.00843861,80.2514,0.824721,0.0
5.25077,0.00796101,78.827,0.818888,0.0
5.22999,0.00809004,78.274,0.82129,0.0
5.20144,0.00793994,76.548,0.812713,0.0
5.18202,0.00782216,75.0901,0.824034,0.0
5.17116,0.00789041,74.2019,0.830553,0.0
5.1507,0.00788831,74.3527,0.810312,0.0
5.12242,0.00749322,72.5932,0.802078,0.0
5.0973,0.00771694,72.8111,0.80894,0.0
5.07711,0.00739344,70.532,0.803451,0.0
5.06964,0.00724385,70.4315,0.809283,0.0
5.05421,0.00743715,68.806,0.797276,0.0
5.01785,0.00742111,67.3817,0.822319,0.0
4.99567,0.00719589,66.946,0.796933,0.0
4.98528,0.00716939,65.8065,0.785612,0.0
4.9646,0.0071264,64.4826,0.78321,0.0
4.95254,0.00695928,63.9464,0.786641,0.0
4.95438,0.00707314,63.4101,0.785612,0.0
4.93396,0.00697564,61.8517,0.767772,0.0
4.89226,0.0065975,61.9522,0.790414,0.0
4.87892,0.00673798,60.8965,0.781838,0.0
4.86777,0.00664546,58.1818,0.779779,0.0
4.84575,0.00653435,58.4667,0.771889,0.0
4.83816,0.00673962,58.4499,0.79213,0.0
4.82671,0.00667229,55.7017,0.759196,0.0
4.81344,0.00667818,56.2044,0.789042,0.0
4.80479,0.00660496,55.6012,0.7664,0.0
4.78626,0.00635075,53.8416,0.768458,0.0
4.76917,0.00615085,53.5233,0.76194,0.0
4.75895,0.00624821,53.0205,0.751305,0.0
4.74465,0.00623048,51.4956,0.761254,0.0
4.73362,0.00609039,52.0151,0.763999,0.0
4.71756,0.00603608,50.7415,0.743758,0.0
4.70597,0.0060067,50.6745,0.733123,0.0
4.70014,0.00594336,49.8869,0.743415,0.0
4.6832,0.00588447,47.7084,0.737583,0.0
4.6581,0.00575399,45.9656,0.722145,0.0
4.65225,0.00578546,48.1441,0.762969,0.0
4.64642,0.00572088,44.424,0.730379,0.0
4.62803,0.00554552,45.2116,0.731408,0.0
4.61649,0.00551143,43.6364,0.702934,0.0
4.61212,0.00546497,44.6921,0.718371,0.0
4.60764,0.0055516,44.3234,0.725576,0.0
4.58666,0.00545522,42.279,0.725233,0.0
4.57498,0.00542427,41.8601,0.716999,0.0
4.57985,0.00548336,41.1898,0.713912,0.0
4.56739,0.0052849,41.039,0.696072,0.0
4.54992,0.00520382,40.1173,0.691613,0.0
4.54741,0.00536643,39.5308,0.712882,0.0
4.53746,0.00503958,38.3745,0.674459,0.0
4.51958,0.0050704,38.2572,0.684408,0.0
4.52016,0.00521488,38.3578,0.688182,0.0
4.50996,0.00509592,37.3523,0.674803,0.0
4.48679,0.00490263,36.7658,0.679948,0.0
4.48054,0.00496597,35.509,0.675489,0.0
4.48118,0.00510299,35.2744,0.681321,0.0
4.47245,0.00484956,35.9782,0.684408,0.0
4.46355,0.00485702,35.4252,0.682693,0.0
4.45274,0.00473499,33.783,0.664854,0.0
4.44269,0.00464633,33.9003,0.659022,0.0
4.43914,0.00464469,32.6938,0.650445,0.0
4.42935,0.00459889,32.4592,0.657306,0.0
4.41599,0.00452357,30.9342,0.646328,0.0
4.42476,0.0047223,33.1797,0.649073,0.0
4.43183,0.00462192,32.2748,0.658336,0.0
4.41142,0.00451775,31.018,0.659022,0.0
4.40004,0.00446154,31.6716,0.647701,0.0
4.39694,0.00446606,30.6494,0.62746,0.0
4.38095,0.00439761,29.2082,0.631234,0.0
4.37202,0.00428134,29.1579,0.614424,0.0
4.37122,0.00430267,29.4931,0.625745,0.0
4.36442,0.00421917,28.6217,0.626088,0.0
4.35582,0.00420053,27.8341,0.617854,0.0
4.34532,0.00401312,27.1303,0.593154,0.0
4.34589,0.00419667,28.7725,0.629861,0.0
4.34063,0.00418567,27.3481,0.605161,0.0
4.32448,0.00415518,26.8119,0.616139,0.0
4.31399,0.00399218,25.5216,0.581833,0.0
4.30665,0.00395423,24.8345,0.593154,0.0
4.29732,0.00385569,24.3988,0.579088,0.0
4.28864,0.00383292,23.2928,0.563651,0.0
4.27773,0.00376729,22.4885,0.552673,0.0
4.26886,0.00367005,22.8571,0.570512,0.0
4.26853,0.00378397,22.1533,0.570855,0.0
4.26219,0.00369276,22.1031,0.571541,0.0
4.25054,0.00368124,20.3268,0.542724,0.0
4.242,0.00354848,20.863,0.542038,0.0
4.23674,0.00344077,19.6732,0.53449,0.0
4.2354,0.00359016,21.0976,0.560563,0.0
4.23078,0.00352773,18.8856,0.521111,0.0
4.21613,0.0033351,19.1537,0.529001,0.0
4.20981,0.0032838,18.1148,0.51768,0.0
4.21028,0.00334053,17.9305,0.513564,0.0
4.20444,0.00329257,18.0142,0.510819,0.0
4.20001,0.00326764,19.0364,0.518709,0.0
4.19606,0.00320344,17.4948,0.506702,0.0
4.19271,0.00326004,17.6959,0.524541,0.0
4.18783,0.00322766,17.0926,0.490921,0.0
4.17742,0.00307133,16.5563,0.499841,0.0
4.1774,0.00315129,16.5061,0.507388,0.0
4.17662,0.00311131,16.0704,0.48406,0.0
4.16724,0.0029705,15.886,0.485775,0.0
4.17365,0.00308043,16.7407,0.501899,0.0
4.17622,0.00305498,15.9363,0.474798,0.0
4.16276,0.00295362,16.3385,0.499155,0.0
4.16004,0.0029756,15.8693,0.499155,0.0
4.16107,0.00300754,15.4839,0.476513,0.0
4.15294,0.00299923,15.7687,0.493666,0.0
4.14885,0.00295493,15.8358,0.488177,0.0
4.14471,0.00290291,14.8471,0.469652,0.0
4.13724,0.00284899,14.3276,0.470681,0.0
4.13934,0.00286855,14.7801,0.479257,0.0
4.13926,0.00288328,14.2103,0.460389,0.0
4.12961,0.00286253,14.1265,0.45936,0.0
4.12704,0.00282393,14.0092,0.460732,0.0
4.12674,0.00279553,13.473,0.457987,0.0
4.12234,0.00283885,13.6741,0.463476,0.0
4.11754,0.0027191,13.2719,0.450097,0.0
