day,time_tag,bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,SNR_analog,SNR_Photon,photon_per_bin,analog_bg_corr,Photon_per_bin_bg_corr,afterpulse_raw,afterpulse_counts_per_bin,photon_APcorr_counts,photon_deadtime_counts,photon_deadtime_corr,k_scale,b_offset,r2_overlap,analog_scaled_for_glue,weight_w,merged_counts_per_bin,range2_corrected_counts,range2_norm,ratio_mean_overlap,ratio_std_overlap
06-01-2026,18.05,39,146.25,500.0,0.0,202.82,0.881952,1.0,inf,229.9671637458728,5.0705,,,,,,,,,,,,,,,,,
06-01-2026,18.05,40,150.0,499.974,0.0115388,201.018,0.887407,1.0,43329.80899226956,226.522891976286,5.02545,,,,,,,,,,,,,,,,,
06-01-2026,18.05,41,153.75,496.857,0.162687,200.284,0.893884,1.0,3054.067012115289,224.06039262365138,5.007099999999999,,,,,,,,,,,,,,,,,
06-01-2026,18.05,42,157.5,474.707,0.454732,202.253,0.89252,1.0,1043.926972370539,226.6089275310357,5.056325,,,,,,,,,,,,,,,,,
06-01-2026,18.05,43,161.25,433.739,0.549922,202.286,0.882293,1.0,788.7282196384214,229.2730419486497,5.05715,,,,,,,,,,,,,,,,,
06-01-2026,18.05,44,165.0,392.946,0.53687,202.703,0.867974,0.0,731.9202041462553,233.5357971552143,5.067575,,,,,,,,,,,,,,,,,
06-01-2026,18.05,45,168.75,354.144,0.545516,200.751,0.881611,0.0,649.1908578300179,227.7092731374722,5.018775000000001,,,,,,,,,,,,,,,,,
06-01-2026,18.05,46,172.5,315.852,0.551799,201.318,0.887748,0.0,572.4040819211342,226.77381419051355,5.0329500000000005,,,,,,,,,,,,,,,,,
06-01-2026,18.05,47,176.25,279.093,0.553684,201.218,0.879566,0.0,504.06549584239394,228.76964321040148,5.03045,,,,,,,,,,,,,,,,,
06-01-2026,18.05,48,180.0,243.417,0.556583,202.019,0.893543,0.0,437.3417801118611,226.08760854262192,5.0504750000000005,,,,,,,,,,,,,,,,,
06-01-2026,18.05,49,183.75,209.198,0.547182,203.421,0.850929,0.0,382.3188628280902,239.05754769199308,5.085525,,,,,,,,,,,,,,,,,
06-01-2026,18.05,50,187.5,177.194,0.531775,201.502,0.886384,0.0,333.2123548493254,227.33036697413314,5.03755,,,,,,,,,,,,,,,,,
06-01-2026,18.05,51,191.25,147.659,0.498142,201.802,0.880588,0.0,296.419494842836,229.16732910282673,5.045050000000001,,,,,,,,,,,,,,,,,
06-01-2026,18.05,52,195.0,121.323,0.46021,201.969,0.873088,0.0,263.6253014927967,231.3271972584665,5.049225,,,,,,,,,,,,,,,,,
06-01-2026,18.05,53,198.75,98.3335,0.418104,202.053,0.862179,0.0,235.18909170923982,234.3515673659414,5.051325,,,,,,,,,,,,,,,,,
06-01-2026,18.05,54,202.5,78.5263,0.371489,199.299,0.89218,0.0,211.3825712201438,223.38429464906187,4.982475000000001,,,,,,,,,,,,,,,,,
06-01-2026,18.05,55,206.25,62.1167,0.320034,199.166,0.87002,0.0,194.09406500559317,228.92117422587987,4.97915,,,,,,,,,,,,,,,,,
06-01-2026,18.05,56,210.0,48.914,0.272443,198.565,0.874452,0.0,179.5384722675936,227.0736415492217,4.964125,,,,,,,,,,,,,,,,,
06-01-2026,18.05,57,213.75,38.115,0.230894,196.646,0.87377,0.0,165.07574904501635,225.05464824839487,4.91615,,,,,,,,,,,,,,,,,
06-01-2026,18.05,58,217.5,29.6605,0.193526,197.063,0.895589,0.0,153.263644161508,220.03731622429484,4.926575,,,,,,,,,,,,,,,,,
06-01-2026,18.05,59,221.25,23.4383,0.157981,194.66,0.86252,0.0,148.36151182737166,225.6875202893846,4.8665,,,,,,,,,,,,,,,,,
06-01-2026,18.05,60,225.0,18.6341,0.128231,191.873,0.872406,0.0,145.316655099001,219.9354429015848,4.796825,,,,,,,,,,,,,,,,,
06-01-2026,18.05,61,228.75,14.8916,0.102998,191.189,0.852974,0.0,144.58144818345986,224.1439950103989,4.779724999999999,,,,,,,,,,,,,,,,,
06-01-2026,18.05,62,232.5,12.2155,0.0822778,189.487,0.857065,0.0,148.46653653841014,221.08824884927049,4.737175000000001,,,,,,,,,,,,,,,,,
06-01-2026,18.05,63,236.25,10.2748,0.0671051,186.083,0.852292,0.0,153.11503894636922,218.33244944220993,4.652075,,,,,,,,,,,,,,,,,
06-01-2026,18.05,64,240.0,8.84004,0.0564614,186.049,0.843088,0.0,156.56784989390982,220.67565900594008,4.651225,,,,,,,,,,,,,,,,,
06-01-2026,18.05,65,243.75,7.75315,0.046828,183.947,0.832178,0.0,165.56654138549584,221.0428538125257,4.598675,,,,,,,,,,,,,,,,,
06-01-2026,18.05,66,247.5,6.89257,0.0394538,180.259,0.856042,0.0,174.69977543354508,210.5726120914628,4.506474999999999,,,,,,,,,,,,,,,,,
06-01-2026,18.05,67,251.25,6.29795,0.0338328,178.023,0.834224,0.0,186.14923979097208,213.39951859452617,4.450575,,,,,,,,,,,,,,,,,
06-01-2026,18.05,68,255.0,5.89457,0.0296883,174.685,0.83286,0.0,198.5485864801959,209.74113296352328,4.367125,,,,,,,,,,,,,,,,,
06-01-2026,18.05,69,258.75,5.52382,0.0270801,174.401,0.859792,0.0,203.98078293654748,202.8409196642909,4.360025,,,,,,,,,,,,,,,,,
06-01-2026,18.05,70,262.5,5.25322,0.0246552,171.615,0.846838,0.0,213.0674259385444,202.6538724053479,4.290375,,,,,,,,,,,,,,,,,
06-01-2026,18.05,71,266.25,5.13235,0.0227512,170.013,0.84786,0.0,225.58590316115195,200.52013304083223,4.250325,,,,,,,,,,,,,,,,,
06-01-2026,18.05,72,270.0,4.99912,0.0215952,166.325,0.848883,0.0,231.49218344817368,195.93395085070614,4.158125,,,,,,,,,,,,,,,,,
06-01-2026,18.05,73,273.75,4.85537,0.020814,166.525,0.841383,0.0,233.2742384933218,197.91818945712,4.163125,,,,,,,,,,,,,,,,,
