analog,analog_sterr,photon_counting,pc_sterr,overflow_info
17.43,0.0170276,128.528,0.800249,0.0
17.3662,0.016974,126.572,0.827949,0.0
17.3275,0.0166983,127.977,0.800591,0.0
17.3033,0.0166738,126.706,0.824872,0.0
17.2572,0.0169055,126.538,0.809482,0.0
17.2017,0.0171429,127.876,0.795461,0.0
17.1612,0.0161493,126.054,0.818716,0.0
17.14,0.0166461,126.388,0.837183,0.0
17.0945,0.0167909,128.361,0.799565,0.0
17.0427,0.0165284,125.334,0.838209,0.0
16.9984,0.0165283,125.217,0.81598,0.0
16.9649,0.0159664,124.883,0.805378,0.0
16.9338,0.0159654,125.719,0.818716,0.0
16.8996,0.0167552,125.368,0.827949,0.0
16.8554,0.0162877,126.455,0.811534,0.0
16.7991,0.0164875,125.134,0.811876,0.0
16.7847,0.0163236,125.686,0.814954,0.0
16.7548,0.0165755,125.569,0.811534,0.0
16.693,0.0165776,123.278,0.81769,0.0
16.6582,0.0164761,125.268,0.815638,0.0
16.6108,0.0159365,125.953,0.828291,0.0
16.5647,0.0159774,124.866,0.813586,0.0
16.5455,0.0161791,122.793,0.824872,0.0
16.5038,0.0162938,125.151,0.81769,0.0
16.4356,0.0163371,124.097,0.807772,0.0
16.415,0.0163465,124.264,0.817348,0.0
16.4258,0.0158081,124.532,0.814954,0.0
16.4088,0.0164209,123.227,0.830685,0.0
16.3776,0.0164097,122.508,0.811534,0.0
16.3498,0.0163143,122.709,0.826923,0.0
16.3054,0.0163717,123.244,0.81427,0.0
16.2554,0.0160934,121.706,0.807772,0.0
16.2333,0.0159581,123.378,0.838551,0.0
16.2317,0.0160943,122.742,0.834105,0.0
16.1919,0.0162879,122.809,0.807088,0.0
16.154,0.0165202,122.977,0.803326,0.0
16.1384,0.0160549,122.809,0.81598,0.0
16.115,0.0162472,121.672,0.81598,0.0
16.06,0.0159744,122.926,0.833763,0.0
16.0274,0.0160521,122.124,0.840603,0.0
16.0284,0.0159224,123.06,0.801616,0.0
16.0007,0.0159645,122.525,0.827949,0.0
15.9543,0.0159985,121.773,0.789989,0.0
15.9456,0.0160016,121.873,0.832737,0.0
15.9305,0.0155493,121.639,0.792383,0.0
15.9012,0.0158663,121.321,0.815296,0.0
15.8963,0.0160209,122.14,0.798539,0.0
15.8969,0.0164264,121.839,0.824188,0.0
15.8718,0.0158839,121.371,0.818374,0.0
15.8448,0.0158492,121.187,0.802984,0.0
15.834,0.0160054,121.405,0.830001,0.0
15.8078,0.0159012,119.565,0.820426,0.0
15.7674,0.0156102,121.639,0.80914,0.0
15.7598,0.0157888,121.12,0.803326,0.0
15.7592,0.0157538,121.906,0.830343,0.0
15.726,0.015977,121.338,0.814954,0.0
15.6878,0.0156581,120.97,0.792725,0.0
15.6695,0.015552,121.171,0.801958,0.0
15.6684,0.0157293,121.756,0.824188,0.0
15.6639,0.0158919,121.254,0.803326,0.0
15.6483,0.0159252,120.686,0.809824,0.0
15.6321,0.0157873,120.435,0.811534,0.0
15.6217,0.0154878,120.786,0.799565,0.0
15.5995,0.0155775,120.619,0.825898,0.0
15.5676,0.0159964,120.435,0.801274,0.0
15.5567,0.0155725,122.324,0.824188,0.0
15.5653,0.0153559,120.017,0.80572,0.0
15.5446,0.0153972,119.649,0.794777,0.0
15.5153,0.0154797,122.124,0.80914,0.0
15.5179,0.0156578,120.97,0.8194,0.0
15.5042,0.014972,120.167,0.797513,0.0
15.494,0.0155321,120.234,0.820084,0.0
15.4966,0.0160087,119.147,0.830001,0.0
15.4751,0.0152428,120.97,0.811534,0.0
15.4694,0.0155773,119.381,0.806062,0.0
15.4627,0.0153572,120.702,0.822136,0.0
15.4354,0.0152479,118.06,0.826581,0.0
15.4273,0.0153772,120.803,0.818374,0.0
15.4381,0.015383,118.88,0.809482,0.0
15.4242,0.0157371,118.98,0.795119,0.0
15.3836,0.0155672,120.368,0.809482,0.0
15.367,0.0154141,118.679,0.837867,0.0
15.3897,0.0151374,119.799,0.827949,0.0
15.4044,0.0153625,120.936,0.828975,0.0
15.4002,0.0155292,120.167,0.808456,0.0
15.3559,0.0157134,119.465,0.828633,0.0
15.3405,0.0154245,121.087,0.822478,0.0
15.3689,0.0155156,119.064,0.809482,0.0
15.3663,0.0156518,119.565,0.795803,0.0
15.3677,0.0151626,118.779,0.830001,0.0
15.3339,0.0154168,119.398,0.822478,0.0
15.281,0.0158416,118.946,0.800933,0.0
15.3077,0.0154524,119.264,0.807772,0.0
15.3396,0.0154586,118.562,0.8194,0.0
15.3,0.0156391,119.816,0.811192,0.0
15.277,0.0154751,118.98,0.806062,0.0
15.2827,0.0155005,119.147,0.809482,0.0
15.2747,0.0156936,120.702,0.82111,0.0
15.2793,0.0156545,118.946,0.814954,0.0
15.2896,0.0155253,118.763,0.823846,0.0
15.2597,0.0151697,119.916,0.790331,0.0
15.2523,0.0154492,118.278,0.806062,0.0
15.2737,0.0153577,119.298,0.827949,0.0
15.2576,0.0154068,119.331,0.811192,0.0
15.2376,0.0153333,119.465,0.796145,0.0
15.2545,0.0156606,118.946,0.820084,0.0
15.2481,0.0153511,118.562,0.797171,0.0
15.2323,0.0152136,119.03,0.801274,0.0
15.2354,0.0156342,119.833,0.820768,0.0
15.2257,0.0152428,118.829,0.818716,0.0
15.194,0.0150244,119.666,0.802984,0.0
15.1955,0.0151309,119.732,0.813586,0.0
15.2301,0.0152227,118.595,0.81256,0.0
15.2298,0.0152749,117.609,0.82111,0.0
15.204,0.015579,118.361,0.806062,0.0
15.1912,0.0155049,119.649,0.794777,0.0
15.1797,0.0151661,117.475,0.795119,0.0
15.1782,0.0152548,120.134,0.824188,0.0
15.1948,0.0156846,118.729,0.80572,0.0
15.1864,0.0153318,118.378,0.800249,0.0
15.1517,0.0152075,119.314,0.82453,0.0
15.15,0.0153353,119.498,0.81598,0.0
15.1737,0.0147152,119.515,0.802642,0.0
15.1707,0.0149817,118.06,0.814612,0.0
15.1727,0.0149217,119.783,0.810508,0.0
15.1909,0.0154939,118.445,0.806404,0.0
15.1618,0.0151134,118.328,0.804694,0.0
15.123,0.0148658,117.09,0.805378,0.0
15.1308,0.0148668,119.114,0.830685,0.0
15.1466,0.0150508,117.993,0.806062,0.0
15.1432,0.0151986,118.462,0.820426,0.0
