range_m,afterpulse_counts_per_bin,afterpulse_raw
1425,0,0
1428.75,0,0
1432.5,0,0
1436.25,0,0
1440,0,0
1443.75,0,0
1447.5,0,0
1451.25,0,0
1455,0,0
1458.75,0,0
1462.5,0,0
1466.25,0,0
1470,0,0
1473.75,0,0
1477.5,0,0
1481.25,0,0
1485,0,0
1488.75,0,0
1492.5,0,0
1496.25,0,0
1500,0,0
1503.75,0,0
1507.5,0,0
1511.25,0,0
1515,0,0
1518.75,0,0
1522.5,0,0
1526.25,0,0
1530,0,0
1533.75,0,0
1537.5,0,0
1541.25,0,0
1545,0,0
1548.75,0,0
1552.5,0.001663893,0.0665557
1556.25,0,0
1560,0,0
1563.75,0,0
1567.5,0,0
1571.25,0,0
1575,0,0
1578.75,0,0
1582.5,0,0
1586.25,0,0
1590,0,0
1593.75,0,0
1597.5,0,0
1601.25,0,0
1605,0,0
1608.75,0,0
1612.5,0,0
1616.25,0,0
1620,0,0
1623.75,0,0
1627.5,0,0
1631.25,0,0
1635,0,0
1638.75,0,0
1642.5,0.003327775,0.133111
1646.25,0,0
1650,0,0
1653.75,0,0
1657.5,0,0
1661.25,0,0
1665,0,0
1668.75,0,0
1672.5,0,0
1676.25,0,0
1680,0,0
1683.75,0,0
1687.5,0,0
1691.25,0,0
1695,0,0
1698.75,0,0
1702.5,0,0
1706.25,0,0
1710,0,0
1713.75,0,0
1717.5,0,0
1721.25,0,0
1725,0.001663893,0.0665557
1728.75,0.001663893,0.0665557
1732.5,0,0
1736.25,0,0
1740,0,0
1743.75,0,0
1747.5,0,0
1751.25,0,0
1755,0,0
1758.75,0,0
1762.5,0,0
1766.25,0,0
1770,0,0
1773.75,0,0
1777.5,0,0
1781.25,0,0
1785,0.001663893,0.0665557
1788.75,0,0
1792.5,0,0
1796.25,0,0
1800,0,0
1803.75,0,0
1807.5,0,0
1811.25,0,0
1815,0,0
1818.75,0,0
1822.5,0,0
1826.25,0,0
1830,0,0
1833.75,0,0
1837.5,0,0
1841.25,0,0
1845,0,0
1848.75,0,0
1852.5,0,0
1856.25,0,0
1860,0,0
1863.75,0,0
1867.5,0,0
1871.25,0,0
1875,0,0
1878.75,0,0
1882.5,0,0
1886.25,0,0
1890,0,0
1893.75,0,0
1897.5,0,0
1901.25,0,0
1905,0,0
1908.75,0,0
1912.5,0,0
1916.25,0,0
1920,0,0
1923.75,0,0
1927.5,0,0
1931.25,0.001663893,0.0665557
1935,0,0
1938.75,0,0
1942.5,0,0
1946.25,0,0
1950,0,0
1953.75,0,0
1957.5,0,0
1961.25,0,0
1965,0,0
1968.75,0.003327775,0.133111
1972.5,0,0
1976.25,0,0
1980,0,0
1983.75,0,0
1987.5,0,0
1991.25,0,0
1995,0,0
1998.75,0,0
2002.5,0,0
2006.25,0,0
2010,0,0
2013.75,0,0
2017.5,0,0
2021.25,0,0
2025,0,0
2028.75,0,0
2032.5,0,0
2036.25,0,0
2040,0,0
