analog,analog_sterr,photon_counting,pc_sterr,overflow_info,bin_index,range_m,time_tag,file_type,source_file
21.6796,0.053511,143.184,0.842127,0.0,61,228.75,11.35,signal,11.35 signal [TR 220].dat
21.5273,0.0540628,143.101,0.842468,0.0,62,232.5,11.35,signal,11.35 signal [TR 220].dat
21.3705,0.0547698,141.747,0.85819,0.0,63,236.25,11.35,signal,11.35 signal [TR 220].dat
21.2936,0.0549892,141.814,0.857506,0.0,64,240.0,11.35,signal,11.35 signal [TR 220].dat
21.2439,0.0549098,140.961,0.870494,0.0,65,243.75,11.35,signal,11.35 signal [TR 220].dat
21.143,0.0551315,140.627,0.839392,0.0,66,247.5,11.35,signal,11.35 signal [TR 220].dat
21.0448,0.0558846,138.738,0.862291,0.0,67,251.25,11.35,signal,11.35 signal [TR 220].dat
21.0178,0.0561837,140.627,0.843152,0.0,68,255.0,11.35,signal,11.35 signal [TR 220].dat
20.9914,0.0556942,139.574,0.840418,0.0,69,258.75,11.35,signal,11.35 signal [TR 220].dat
20.9535,0.0559874,138.42,0.856139,0.0,70,262.5,11.35,signal,11.35 signal [TR 220].dat
20.9095,0.056453,140.226,0.859557,0.0,71,266.25,11.35,signal,11.35 signal [TR 220].dat
20.8545,0.0565451,138.955,0.855798,0.0,72,270.0,11.35,signal,11.35 signal [TR 220].dat
20.8276,0.0563257,137.3,0.854089,0.0,73,273.75,11.35,signal,11.35 signal [TR 220].dat
20.8008,0.0562531,138.671,0.860582,0.0,74,277.5,11.35,signal,11.35 signal [TR 220].dat
20.7517,0.0571133,137.735,0.84076,0.0,75,281.25,11.35,signal,11.35 signal [TR 220].dat
20.722,0.0574512,138.203,0.870152,0.0,76,285.0,11.35,signal,11.35 signal [TR 220].dat
20.719,0.0572992,137.819,0.854089,0.0,77,288.75,11.35,signal,11.35 signal [TR 220].dat
20.7149,0.0570245,137.568,0.82538,0.0,78,292.5,11.35,signal,11.35 signal [TR 220].dat
20.6862,0.0569437,137.317,0.864684,0.0,79,296.25,11.35,signal,11.35 signal [TR 220].dat
20.6313,0.0574966,137.735,0.860924,0.0,80,300.0,11.35,signal,11.35 signal [TR 220].dat
20.6122,0.0577791,138.153,0.863317,0.0,81,303.75,11.35,signal,11.35 signal [TR 220].dat
20.6265,0.057382,136.465,0.833241,0.0,82,307.5,11.35,signal,11.35 signal [TR 220].dat
20.5926,0.0578156,137.651,0.863658,0.0,83,311.25,11.35,signal,11.35 signal [TR 220].dat
20.5456,0.0578692,135.679,0.851013,0.0,84,315.0,11.35,signal,11.35 signal [TR 220].dat
20.5421,0.0577208,136.665,0.847937,0.0,85,318.75,11.35,signal,11.35 signal [TR 220].dat
20.5199,0.0579323,136.565,0.860582,0.0,86,322.5,11.35,signal,11.35 signal [TR 220].dat
20.5084,0.0580801,137.768,0.855798,0.0,87,326.25,11.35,signal,11.35 signal [TR 220].dat
20.5156,0.0581867,136.548,0.865367,0.0,88,330.0,11.35,signal,11.35 signal [TR 220].dat
20.4815,0.0585308,137.117,0.858532,0.0,89,333.75,11.35,signal,11.35 signal [TR 220].dat
20.462,0.0581263,136.649,0.874937,0.0,90,337.5,11.35,signal,11.35 signal [TR 220].dat
20.4716,0.0579266,137.401,0.857165,0.0,91,341.25,11.35,signal,11.35 signal [TR 220].dat
20.4541,0.0580759,135.863,0.838709,0.0,92,345.0,11.35,signal,11.35 signal [TR 220].dat
20.423,0.0578443,135.445,0.830165,0.0,93,348.75,11.35,signal,11.35 signal [TR 220].dat
20.4125,0.0583415,137.2,0.875279,0.0,94,352.5,11.35,signal,11.35 signal [TR 220].dat
20.4076,0.0591098,136.281,0.855114,0.0,95,356.25,11.35,signal,11.35 signal [TR 220].dat
20.3974,0.0585354,136.08,0.873911,0.0,96,360.0,11.35,signal,11.35 signal [TR 220].dat
20.3739,0.0582336,136.364,0.840418,0.0,97,363.75,11.35,signal,11.35 signal [TR 220].dat
20.3669,0.058569,137.952,0.877671,0.0,98,367.5,11.35,signal,11.35 signal [TR 220].dat
20.3504,0.0588416,136.515,0.846228,0.0,99,371.25,11.35,signal,11.35 signal [TR 220].dat
20.3378,0.0587793,138.153,0.87938,0.0,100,375.0,11.35,signal,11.35 signal [TR 220].dat
20.338,0.058595,135.127,0.832557,0.0,101,378.75,11.35,signal,11.35 signal [TR 220].dat
20.313,0.058672,135.144,0.868101,0.0,102,382.5,11.35,signal,11.35 signal [TR 220].dat
20.3017,0.0587736,136.615,0.868443,0.0,103,386.25,11.35,signal,11.35 signal [TR 220].dat
20.2969,0.0584032,136.298,0.844861,0.0,104,390.0,11.35,signal,11.35 signal [TR 220].dat
20.2762,0.0584396,135.796,0.85238,0.0,105,393.75,11.35,signal,11.35 signal [TR 220].dat
20.2739,0.0586257,136.933,0.847253,0.0,106,397.5,11.35,signal,11.35 signal [TR 220].dat
20.2714,0.0586749,136.532,0.855798,0.0,107,401.25,11.35,signal,11.35 signal [TR 220].dat
20.267,0.0589888,135.529,0.859899,0.0,108,405.0,11.35,signal,11.35 signal [TR 220].dat
20.2611,0.0590523,135.662,0.832899,0.0,109,408.75,11.35,signal,11.35 signal [TR 220].dat
20.2578,0.0589086,137.367,0.870152,0.0,110,412.5,11.35,signal,11.35 signal [TR 220].dat
20.2599,0.0588862,136.281,0.859215,0.0,111,416.25,11.35,signal,11.35 signal [TR 220].dat
20.2344,0.0589401,135.612,0.867076,0.0,112,420.0,11.35,signal,11.35 signal [TR 220].dat
20.2117,0.0590858,136.832,0.835633,0.0,113,423.75,11.35,signal,11.35 signal [TR 220].dat
20.2231,0.0594174,136.064,0.865025,0.0,114,427.5,11.35,signal,11.35 signal [TR 220].dat
20.2232,0.0594395,135.044,0.867076,0.0,115,431.25,11.35,signal,11.35 signal [TR 220].dat
20.2253,0.0593585,135.445,0.849304,0.0,116,435.0,11.35,signal,11.35 signal [TR 220].dat
20.2282,0.0593457,133.723,0.848279,0.0,117,438.75,11.35,signal,11.35 signal [TR 220].dat
20.1942,0.0595332,136.816,0.853405,0.0,118,442.5,11.35,signal,11.35 signal [TR 220].dat
20.1835,0.0597174,135.846,0.868101,0.0,119,446.25,11.35,signal,11.35 signal [TR 220].dat
20.1983,0.0597318,136.348,0.859215,0.0,120,450.0,11.35,signal,11.35 signal [TR 220].dat
20.1886,0.0592485,134.509,0.856139,0.0,121,453.75,11.35,signal,11.35 signal [TR 220].dat
20.1694,0.0590423,135.947,0.851696,0.0,122,457.5,11.35,signal,11.35 signal [TR 220].dat
20.162,0.0594773,135.813,0.863658,0.0,123,461.25,11.35,signal,11.35 signal [TR 220].dat
20.1703,0.0591955,134.743,0.850671,0.0,124,465.0,11.35,signal,11.35 signal [TR 220].dat
20.1453,0.0591687,134.175,0.853405,0.0,125,468.75,11.35,signal,11.35 signal [TR 220].dat
20.13,0.0594352,135.111,0.853747,0.0,126,472.5,11.35,signal,11.35 signal [TR 220].dat
20.157,0.0589641,137.501,0.857506,0.0,127,476.25,11.35,signal,11.35 signal [TR 220].dat
20.1186,0.0589656,134.793,0.85443,0.0,128,480.0,11.35,signal,11.35 signal [TR 220].dat
20.0939,0.0594398,137.133,0.851013,0.0,129,483.75,11.35,signal,11.35 signal [TR 220].dat
20.1257,0.0593978,135.077,0.85443,0.0,130,487.5,11.35,signal,11.35 signal [TR 220].dat
20.132,0.0593359,136.264,0.872203,0.0,131,491.25,11.35,signal,11.35 signal [TR 220].dat
20.1182,0.0593222,135.512,0.854089,0.0,132,495.0,11.35,signal,11.35 signal [TR 220].dat
20.1099,0.0595373,136.147,0.851696,0.0,133,498.75,11.35,signal,11.35 signal [TR 220].dat
20.1012,0.0594593,135.378,0.859899,0.0,134,502.5,11.35,signal,11.35 signal [TR 220].dat
20.0851,0.0591794,136.565,0.849987,0.0,135,506.25,11.35,signal,11.35 signal [TR 220].dat
20.0975,0.0593575,134.091,0.845886,0.0,136,510.0,11.35,signal,11.35 signal [TR 220].dat
20.0924,0.0596889,134.292,0.851013,0.0,137,513.75,11.35,signal,11.35 signal [TR 220].dat
20.0769,0.0596247,135.495,0.850329,0.0,138,517.5,11.35,signal,11.35 signal [TR 220].dat
20.0816,0.0599051,135.328,0.853405,0.0,139,521.25,11.35,signal,11.35 signal [TR 220].dat
20.08,0.0599995,134.977,0.868101,0.0,140,525.0,11.35,signal,11.35 signal [TR 220].dat
20.0739,0.0602307,134.609,0.85443,0.0,141,528.75,11.35,signal,11.35 signal [TR 220].dat
20.057,0.0599895,134.827,0.856823,0.0,142,532.5,11.35,signal,11.35 signal [TR 220].dat
20.0538,0.0595346,135.88,0.845203,0.0,143,536.25,11.35,signal,11.35 signal [TR 220].dat
20.0542,0.0597244,134.827,0.842127,0.0,144,540.0,11.35,signal,11.35 signal [TR 220].dat
20.0376,0.0602001,137.367,0.848279,0.0,145,543.75,11.35,signal,11.35 signal [TR 220].dat
20.0313,0.0602315,134.141,0.854089,0.0,146,547.5,11.35,signal,11.35 signal [TR 220].dat
20.0117,0.0600626,136.214,0.882114,0.0,147,551.25,11.35,signal,11.35 signal [TR 220].dat
20.0055,0.0599906,135.144,0.855114,0.0,148,555.0,11.35,signal,11.35 signal [TR 220].dat
20.026,0.0602666,136.281,0.871177,0.0,149,558.75,11.35,signal,11.35 signal [TR 220].dat
20.0186,0.0603914,136.465,0.874253,0.0,150,562.5,11.35,signal,11.35 signal [TR 220].dat
19.9921,0.0595459,134.877,0.828456,0.0,151,566.25,11.35,signal,11.35 signal [TR 220].dat
19.9857,0.0595562,133.656,0.848962,0.0,152,570.0,11.35,signal,11.35 signal [TR 220].dat
19.9865,0.0601299,134.86,0.869127,0.0,153,573.75,11.35,signal,11.35 signal [TR 220].dat
19.9804,0.0598401,135.311,0.846911,0.0,154,577.5,11.35,signal,11.35 signal [TR 220].dat
20.0048,0.059582,135.178,0.835975,0.0,155,581.25,11.35,signal,11.35 signal [TR 220].dat
20.0013,0.0604147,136.398,0.855798,0.0,156,585.0,11.35,signal,11.35 signal [TR 220].dat
19.9574,0.0599981,134.927,0.874937,0.0,157,588.75,11.35,signal,11.35 signal [TR 220].dat
19.9487,0.059676,135.178,0.837,0.0,158,592.5,11.35,signal,11.35 signal [TR 220].dat
19.9607,0.0600074,136.314,0.842468,0.0,159,596.25,11.35,signal,11.35 signal [TR 220].dat
19.9644,0.0600028,134.425,0.844519,0.0,160,600.0,11.35,signal,11.35 signal [TR 220].dat
19.967,0.0600796,135.545,0.850671,0.0,161,603.75,11.35,signal,11.35 signal [TR 220].dat
19.9242,0.0602744,134.593,0.864684,0.0,162,607.5,11.35,signal,11.35 signal [TR 220].dat
19.9062,0.0605036,134.81,0.861266,0.0,163,611.25,11.35,signal,11.35 signal [TR 220].dat
19.9212,0.0603445,133.339,0.832215,0.0,164,615.0,11.35,signal,11.35 signal [TR 220].dat
19.9063,0.0602528,135.646,0.856481,0.0,165,618.75,11.35,signal,11.35 signal [TR 220].dat
19.9293,0.0608624,134.71,0.838367,0.0,166,622.5,11.35,signal,11.35 signal [TR 220].dat
19.9511,0.0604645,135.261,0.847595,0.0,167,626.25,11.35,signal,11.35 signal [TR 220].dat
19.9107,0.0599448,136.013,0.840418,0.0,168,630.0,11.35,signal,11.35 signal [TR 220].dat
19.8818,0.0604038,134.359,0.847595,0.0,169,633.75,11.35,signal,11.35 signal [TR 220].dat
19.897,0.0606373,134.877,0.861608,0.0,170,637.5,11.35,signal,11.35 signal [TR 220].dat
19.889,0.0605775,133.84,0.843152,0.0,171,641.25,11.35,signal,11.35 signal [TR 220].dat
19.8686,0.0604707,135.612,0.861949,0.0,172,645.0,11.35,signal,11.35 signal [TR 220].dat
19.884,0.060283,136.364,0.872203,0.0,173,648.75,11.35,signal,11.35 signal [TR 220].dat
19.8924,0.0599271,135.863,0.86776,0.0,174,652.5,11.35,signal,11.35 signal [TR 220].dat
19.8606,0.0600431,134.275,0.873911,0.0,175,656.25,11.35,signal,11.35 signal [TR 220].dat
19.8628,0.0601515,134.86,0.852038,0.0,176,660.0,11.35,signal,11.35 signal [TR 220].dat
19.8702,0.0603003,134.409,0.856823,0.0,177,663.75,11.35,signal,11.35 signal [TR 220].dat
19.8471,0.0605177,135.278,0.851696,0.0,178,667.5,11.35,signal,11.35 signal [TR 220].dat
19.8512,0.0602363,134.96,0.841101,0.0,179,671.25,11.35,signal,11.35 signal [TR 220].dat
19.8612,0.0607397,136.064,0.82538,0.0,180,675.0,11.35,signal,11.35 signal [TR 220].dat
19.8388,0.0610307,134.359,0.857506,0.0,181,678.75,11.35,signal,11.35 signal [TR 220].dat
19.8287,0.060443,134.559,0.859215,0.0,182,682.5,11.35,signal,11.35 signal [TR 220].dat
19.8438,0.0609152,135.462,0.861608,0.0,183,686.25,11.35,signal,11.35 signal [TR 220].dat
19.8138,0.0612482,133.239,0.839392,0.0,184,690.0,11.35,signal,11.35 signal [TR 220].dat
19.7951,0.0604973,135.796,0.831532,0.0,185,693.75,11.35,signal,11.35 signal [TR 220].dat
19.8126,0.0605391,134.71,0.837342,0.0,186,697.5,11.35,signal,11.35 signal [TR 220].dat
19.8002,0.0611793,134.275,0.856823,0.0,187,701.25,11.35,signal,11.35 signal [TR 220].dat
19.7945,0.0610751,134.542,0.857506,0.0,188,705.0,11.35,signal,11.35 signal [TR 220].dat
19.8115,0.0605546,135.194,0.852722,0.0,189,708.75,11.35,signal,11.35 signal [TR 220].dat
19.795,0.0608657,135.127,0.854089,0.0,190,712.5,11.35,signal,11.35 signal [TR 220].dat
19.7835,0.0614034,136.097,0.856139,0.0,191,716.25,11.35,signal,11.35 signal [TR 220].dat
19.7895,0.0612767,134.275,0.838025,0.0,192,720.0,11.35,signal,11.35 signal [TR 220].dat
19.7862,0.0609187,134.375,0.848279,0.0,193,723.75,11.35,signal,11.35 signal [TR 220].dat
19.7879,0.0607894,135.361,0.862975,0.0,194,727.5,11.35,signal,11.35 signal [TR 220].dat
19.7785,0.0607463,134.074,0.857848,0.0,195,731.25,11.35,signal,11.35 signal [TR 220].dat
19.7767,0.0609857,134.158,0.865709,0.0,196,735.0,11.35,signal,11.35 signal [TR 220].dat
19.7859,0.0611085,134.392,0.850671,0.0,197,738.75,11.35,signal,11.35 signal [TR 220].dat
19.7727,0.0612007,134.676,0.832557,0.0,198,742.5,11.35,signal,11.35 signal [TR 220].dat
