day,time_tag,bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,SNR_analog,SNR_Photon,photon_per_bin,analog_bg_corr,Photon_per_bin_bg_corr,afterpulse_raw,afterpulse_counts_per_bin,photon_APcorr_counts,photon_deadtime_counts,photon_deadtime_corr,k_scale,b_offset,r2_overlap,analog_scaled_for_glue,weight_w,merged_counts_per_bin,range2_corrected_counts,range2_norm,ratio_mean_overlap,ratio_std_overlap
09-01-2026,02.05,197,738.75,4.98016,0.00787376,69.2878,0.821598,0.0,632.5008636280505,84.33297062553706,1.7321950000000002,1.2526315571428568,1.7251265159178573,0.0,0.0,1.7251265159178573,2.186903102339548,2.9862545930513114,0.041103844270022345,4.171866407308805,0.5842590395486837,4.223354379761321,1.0,1.7251265159178573,941490.4915723518,0.9076306207805698,1.001954124210239,0.04426214585259075
09-01-2026,02.05,198,742.5,4.95689,0.00745041,68.1383,0.794392,0.0,665.3177476138897,85.77415180414707,1.7034575,1.2293615571428567,1.6963890159178572,0.0,0.0,1.6963890159178572,2.140926810227809,2.90117919930588,0.041103844270022345,4.171866407308805,0.5842590395486837,4.222397893305157,1.0,1.6963890159178572,935229.8669068641,0.9015951539304258,1.001954124210239,0.04426214585259075
09-01-2026,02.05,199,746.25,4.94047,0.00745508,67.2886,0.804594,0.0,662.6984552814994,83.63050184316562,1.6822150000000002,1.2129415571428575,1.6751465159178573,0.0,0.0,1.6751465159178573,2.107203081267692,2.839596521799562,0.041103844270022345,4.171866407308805,0.5842590395486837,4.2217229681822435,1.0,1.6751465159178573,932870.7727996369,0.8993209025511617,1.001954124210239,0.04426214585259075
09-01-2026,02.05,200,750.0,4.91659,0.00728384,65.2561,0.796433,0.0,674.999725419559,81.93545470868234,1.6314025,1.1890615571428573,1.6243340159178572,0.0,0.0,1.6243340159178572,2.027423227525088,2.6966030901477906,0.041103844270022345,4.171866407308805,0.5842590395486837,4.220741408381075,1.0,1.6243340159178572,913687.8839537947,0.8808279092948634,1.001954124210239,0.04426214585259075
09-01-2026,02.05,201,753.75,4.89665,0.00719706,65.1895,0.811056,0.0,680.3680947498007,80.37607760746484,1.6297375,1.1691215571428573,1.6226690159178572,0.0,0.0,1.6226690159178572,2.0248299921465667,2.6920174090735625,0.041103844270022345,4.171866407308805,0.5842590395486837,4.219921797726331,1.0,1.6226690159178572,921901.6534513689,0.8887462778548914,1.001954124210239,0.04426214585259075
09-01-2026,02.05,202,757.5,4.88326,0.00729882,64.5398,0.784871,0.0,669.0478734918795,82.22981865809795,1.613495,1.155731557142857,1.606426515917857,0.0,0.0,1.606426515917857,1.9996013398157524,2.647606127131655,0.041103844270022345,4.171866407308805,0.5842590395486837,4.219371417251556,1.0,1.606426515917857,921777.5749993909,0.8886266617744292,1.001954124210239,0.04426214585259075
09-01-2026,02.05,203,761.25,4.86113,0.0070541,63.5902,0.778749,0.0,689.1212202832396,81.65686248072228,1.5897550000000003,1.1336015571428573,1.5826865159178574,0.0,0.0,1.5826865159178574,1.9629510148839415,2.5837318835361054,0.041103844270022345,4.171866407308805,0.5842590395486837,4.2184617891778595,1.0,1.5826865159178574,917169.3089220795,0.8841841279008401,1.001954124210239,0.04426214585259075
09-01-2026,02.05,204,765.0,4.8365,0.00693112,62.2574,0.790992,0.0,697.7948729786817,78.70800210368752,1.556435,1.1089715571428571,1.5493665159178571,0.0,0.0,1.5493665159178571,1.911954220698956,2.4960993756547794,0.041103844270022345,4.171866407308805,0.5842590395486837,4.217449401493489,1.0,1.5493665159178571,906728.0192780279,0.8741183499814548,1.001954124210239,0.04426214585259075
09-01-2026,02.05,205,768.75,4.83174,0.00691691,62.4073,0.78011,0.0,698.5402441263512,79.99807719424184,1.5601825,1.104211557142857,1.5531140159178571,0.0,0.0,1.5531140159178571,1.9176641954210962,2.505840282602523,0.041103844270022345,4.171866407308805,0.5842590395486837,4.217253747194764,1.0,1.5531140159178571,917853.9822977055,0.884844177605552,1.001954124210239,0.04426214585259075
09-01-2026,02.05,206,772.5,4.82964,0.00705799,60.2082,0.78385,0.0,684.2798020399576,76.81086942654844,1.505205,1.1021115571428575,1.498136515917857,0.0,0.0,1.498136515917857,1.8345395332767445,2.3657669061845388,0.041103844270022345,4.171866407308805,0.5842590395486837,4.217167429121797,1.0,1.498136515917857,894022.3292272057,0.8618696088082817,1.001954124210239,0.04426214585259075
09-01-2026,02.05,207,776.25,4.80496,0.00694591,59.4752,0.773648,0.0,691.7682492286829,76.87630550327798,1.4868800000000002,1.0774315571428574,1.4798115159178573,0.0,0.0,1.4798115159178573,1.8071361528276444,2.3203916144255854,0.041103844270022345,4.171866407308805,0.5842590395486837,4.216152986245213,1.0,1.4798115159178573,891681.2387657475,0.8596127135896288,1.001954124210239,0.04426214585259075
09-01-2026,02.05,208,780.0,4.78101,0.00672557,57.9425,0.78215,0.0,710.8706027890573,74.08105862046922,1.4485625,1.0534815571428573,1.441494015917857,0.0,0.0,1.441494015917857,1.7503181720422891,2.2275450777964525,0.041103844270022345,4.171866407308805,0.5842590395486837,4.215168549174946,1.0,1.441494015917857,877004.9592844242,0.8454642534876725,1.001954124210239,0.04426214585259075
09-01-2026,02.05,209,783.75,4.77163,0.00673569,58.5256,0.804254,0.0,708.4099773000243,72.77004528420126,1.4631399999999999,1.0441015571428571,1.456071515917857,0.0,0.0,1.456071515917857,1.7718575574439948,2.2625486140076054,0.041103844270022345,4.171866407308805,0.5842590395486837,4.2147829951156925,1.0,1.456071515917857,894412.4046582363,0.8622456555222812,1.001954124210239,0.04426214585259075
09-01-2026,02.05,210,787.5,4.77136,0.00687086,57.7426,0.804254,0.0,694.4341756344911,71.79647225876403,1.443565,1.0438315571428567,1.436496515917857,0.0,0.0,1.436496515917857,1.7429554455252614,2.2156337587599895,0.041103844270022345,4.171866407308805,0.5842590395486837,4.21477189707774,1.0,1.436496515917857,890852.2924496835,0.8588135795928675,1.001954124210239,0.04426214585259075
09-01-2026,02.05,211,791.25,4.75448,0.00681683,56.743,0.788951,0.0,697.4620168025314,71.92208388100148,1.4185750000000001,1.0269515571428571,1.4115065159178573,0.0,0.0,1.4115065159178573,1.706301490096118,2.156739302290333,0.041103844270022345,4.171866407308805,0.5842590395486837,4.214078064186462,1.0,1.4115065159178573,883711.1474322036,0.85192925952451,1.001954124210239,0.04426214585259075
