day,time_tag,raw_bin_index,bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,analog_bg_pretrigger,photon_bg_pretrigger,SNR_analog,SNR_Photon,photon_per_bin,photon_per_bin_bg_pretrigger,analog_bg_corr,Photon_per_bin_bg_corr,afterpulse_raw,afterpulse_counts_per_bin,photon_APcorr_counts,photon_deadtime_counts,photon_deadtime_corr,k_scale,b_offset,r2_overlap,analog_scaled_for_glue,weight_w,merged_counts_per_bin,range2_corrected_counts,range2_norm,ratio_mean_overlap,ratio_std_overlap
24-03-2026,08.05,1024,0,0.0,13.0445,0.01878,127.198,0.806937,0.0,31.80875104895105,130.90853753046952,694.5953141640042,157.63064526722656,3.17995,3.272713438261738,-18.76425104895105,-0.09276343826173816,0.0,0.0,-0.09276343826173816,-0.09172200416889219,-0.09070369435397586,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.0705877808784976,0.0,-0.0705877808784976,-0.0,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1025,1,3.75,13.0419,0.0184473,128.284,0.791918,0.0,31.80875104895105,130.90853753046952,706.9815094891935,161.9915193239704,3.2071,3.272713438261738,-18.766851048951047,-0.06561343826173793,0.0,0.0,-0.06561343826173793,-0.06509068941256088,-0.06457620431039597,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07182839278511288,0.0,-0.07182839278511288,-1.01008677354065,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1026,2,7.5,13.0586,0.0183818,127.8,0.78475,0.0,31.80875104895105,130.90853753046952,710.40920910901,162.8544122331953,3.1950000000000003,3.272713438261738,-18.750151048951047,-0.07771343826173771,0.0,0.0,-0.07771343826173771,-0.07698118363244577,-0.07626259952660408,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06385984707723225,0.0,-0.06385984707723225,-3.592116398094314,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1027,3,11.25,13.0561,0.0182086,127.599,0.786457,0.0,31.80875104895105,130.90853753046952,717.0293158178005,162.2453611576984,3.189975,3.272713438261738,-18.752651048951048,-0.08273843826173799,0.0,0.0,-0.08273843826173799,-0.0819089313734075,-0.08109589208342594,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06505274314128684,0.0,-0.06505274314128684,-8.233237803819115,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1028,4,15.0,13.04,0.018679,128.234,0.79226,0.0,31.80875104895105,130.90853753046952,698.110177204347,161.85848080175703,3.2058500000000003,3.272713438261738,-18.76875104895105,-0.06686343826173768,0.0,0.0,-0.06686343826173768,-0.06632066431809855,-0.0657866315140148,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07273499379379622,0.0,-0.07273499379379622,-16.365373603604148,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1029,5,18.75,13.0452,0.0181113,129.002,0.794649,0.0,31.80875104895105,130.90853753046952,720.2796044458431,162.33834057552454,3.2250500000000004,3.272713438261738,-18.76355104895105,-0.04766343826173758,0.0,0.0,-0.04766343826173758,-0.047386982377043536,-0.0471137149789969,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07025376998056387,0.0,-0.07025376998056387,-24.698591008791986,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1030,6,22.5,13.0603,0.0185077,128.902,0.797038,0.0,31.80875104895105,130.90853753046952,705.6684515093718,161.7262915946291,3.2225499999999996,3.272713438261738,-18.748451048951047,-0.05016343826173841,0.0,0.0,-0.05016343826173841,-0.04985731411162228,-0.049554903565936455,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06304867775367562,0.0,-0.06304867775367562,-31.91839311279828,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1031,7,26.25,13.0445,0.017925,128.518,0.800452,0.0,31.80875104895105,130.90853753046952,727.7266387726638,160.55678541623982,3.2129499999999998,3.272713438261738,-18.76425104895105,-0.059763438261738244,0.0,0.0,-0.059763438261738244,-0.059329440742185,-0.05890170109207533,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.0705877808784976,0.0,-0.0705877808784976,-48.63939276158975,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1032,8,30.0,13.045,0.018241,127.699,0.801817,0.0,31.80875104895105,130.90853753046952,715.147195877419,159.26202612316774,3.192475,3.272713438261738,-18.76375104895105,-0.08023843826173804,0.0,0.0,-0.08023843826173804,-0.0794580659091581,-0.07869272663356496,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07034920166568881,0.0,-0.07034920166568881,-63.31428149911993,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1033,9,33.75,13.0713,0.0186448,128.484,0.777582,0.0,31.80875104895105,130.90853753046952,701.0694670900198,165.23530637283272,3.2121000000000004,3.272713438261738,-18.737451048951048,-0.060613438261737596,0.0,0.0,-0.060613438261737596,-0.06016705378493954,-0.05972719599270065,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.05779993507183967,0.0,-0.05779993507183967,-65.83773854276737,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1034,10,37.5,13.054,0.0184523,129.102,0.775875,0.0,31.80875104895105,130.90853753046952,707.4456842778407,166.39536007733204,3.2275500000000004,3.272713438261738,-18.75475104895105,-0.04516343826173763,0.0,0.0,-0.04516343826173763,-0.04491514711097348,-0.04466957105150162,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06605477583509334,0.0,-0.06605477583509334,-92.88952851810001,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1035,11,41.25,13.0435,0.0185384,128.835,0.802159,0.0,31.80875104895105,130.90853753046952,703.5936218875415,160.61030294492738,3.220875,3.272713438261738,-18.76525104895105,-0.05183843826173806,0.0,0.0,-0.05183843826173806,-0.05151159590599972,-0.051188849221721025,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.0710649393041205,0.0,-0.0710649393041205,-120.92143578466754,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1036,12,45.0,13.0462,0.0182878,127.015,0.798063,0.0,31.80875104895105,130.90853753046952,713.382692286661,159.15410186915068,3.1753750000000003,3.272713438261738,-18.762551048951046,-0.09733843826173771,0.0,0.0,-0.09733843826173771,-0.09619238061093285,-0.09507299615628538,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06977661155494097,0.0,-0.06977661155494097,-141.29763839875545,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1037,13,48.75,13.0282,0.0185273,127.883,0.769731,0.0,31.80875104895105,130.90853753046952,703.1893476113627,166.13985924953002,3.197075,3.272713438261738,-18.780551048951047,-0.0756384382617381,0.0,0.0,-0.0756384382617381,-0.07494459038870245,-0.07426335644079059,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07836546321612836,0.0,-0.07836546321612836,-186.24042117458006,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1038,14,52.5,13.0403,0.0182801,126.981,0.794308,0.0,31.80875104895105,130.90853753046952,713.3604301945832,159.8636800837962,3.1745249999999996,3.272713438261738,-18.76845104895105,-0.0981884382617384,0.0,0.0,-0.0981884382617384,-0.09702239739412997,-0.0958837262297669,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07259184626610882,0.0,-0.07259184626610882,-200.08127627096243,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1039,15,56.25,13.0579,0.0180978,128.033,0.785433,0.0,31.80875104895105,130.90853753046952,721.5186376244626,163.00944829157928,3.200825,3.272713438261738,-18.75085104895105,-0.07188843826173796,0.0665557,0.0016638924999999999,-0.07355233076173796,-0.07289606171208347,-0.07225140018680296,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06419385797516952,0.0,-0.06419385797516952,-203.1133787495598,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1040,16,60.0,13.055,0.0183478,129.102,0.799428,0.0,31.80875104895105,130.90853753046952,711.5294476722004,161.4929674717423,3.2275500000000004,3.272713438261738,-18.75375104895105,-0.04516343826173763,0.0,0.0,-0.04516343826173763,-0.04491514711097348,-0.04466957105150162,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.06557761740947221,0.0,-0.06557761740947221,-236.07942267409996,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1041,17,63.75,13.0308,0.0186307,126.965,0.802841,0.0,31.80875104895105,130.90853753046952,699.4262158695057,158.14463885127938,3.174125,3.272713438261738,-18.77795104895105,-0.09858843826173791,0.0,0.0,-0.09858843826173791,-0.09741293447874343,-0.09626513227039632,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.07712485130951485,0.0,-0.07712485130951485,-313.4402160250752,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1042,18,67.5,12.998,0.0188746,127.85,0.782361,0.0,31.80875104895105,130.90853753046952,688.6503555042226,163.41560992943155,3.19625,3.272713438261738,-18.810751048951047,-0.07646343826173796,0.0,0.0,-0.07646343826173796,-0.0757544429725282,-0.07505847498586658,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.09277564766990132,0.0,-0.09277564766990132,-422.70904469598787,,1.0575998107305706,0.2672254039524526
24-03-2026,08.05,1043,19,71.25,13.0202,0.0181786,128.868,0.800111,0.0,31.80875104895105,130.90853753046952,716.2377740860132,161.06265255695772,3.2217,3.272713438261738,-18.78855104895105,-0.05101343826173821,0.0,0.0,-0.05101343826173821,-0.050696884640629714,-0.0503842354111395,0.47715842562158006,8.882932707607067,0.16410896642356065,-0.0821827306211027,0.0,-0.0821827306211027,-417.2057684186917,,1.0575998107305706,0.2672254039524526
