range_m,09.35,10.05,10.35,11.05,11.35,12.05,12.35,13.05,13.35,14.05,15.05,15.35,16.05,16.35,17.05,17.35,18.05,18.35,19.05,19.35,20.05,20.35,21.05,21.35,22.05,22.35,23.05,23.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.75,1.7596114758058782e-06,1.893215414486616e-06,1.461560182595568e-06,3.061227962639013e-06,2.401956178422514e-06,2.3642547659039405e-06,3.074553498980365e-06,1.8680286854910315e-06,2.0935227254503303e-06,2.6298882566675727e-06,1.7670267302015061e-06,2.77555833309301e-06,2.1097256677364934e-06,1.2676840477725665e-06,4.2335168748923494e-06,2.9642067784501e-06,0.00019980836200970682,4.1084250491316276e-05,3.459278492158492e-05,0.00017676857075166286,5.2797867998838026e-06,6.60437140487845e-05,1.3637705511676556e-05,1.2728473553733313e-05,3.871388463108223e-06,2.030773658100092e-05,2.419219872736761e-06,1.0191148206333151e-05
7.5,1.4464287039546475e-05,1.7338107801663716e-05,1.3242871644814238e-05,3.496378509636124e-05,2.2731831010006972e-05,2.592824036284657e-05,3.6209317547247224e-05,2.12141232464735e-05,2.1697010043292535e-05,3.1408861911561906e-05,1.6512297649120914e-05,2.9769722107534405e-05,1.693991145584509e-05,1.0242759438230258e-05,6.167256352313049e-05,2.2445323399140352e-05,0.0002981236587314043,0.00040767188912153965,0.000260987797129085,0.0007183632202422732,3.081882500213421e-05,0.0004938528823381472,0.00012225672787316463,9.955245556340296e-05,3.0298419446966594e-05,0.00013684864195334946,1.2763101272619191e-05,6.40908716071446e-05
11.25,8.124616165693064e-05,0.00010438632723093538,8.334331916050486e-05,0.00023432120373065562,0.00014742363134656944,0.00017759149558535308,0.00025078397620423775,0.00014740638654386947,0.00014639855034416093,0.00021874344318240405,0.00010420219570760724,0.00019031939691815673,9.886823965085029e-05,4.22992136076202e-05,0.00021753523519902409,7.255359684447342e-05,0.0009780370842794137,0.0013828546377411693,0.0008881999163630623,0.001706943393513866,9.140986834905251e-05,0.0016040036581122564,0.00039534188488777466,0.00032624193611179004,0.00010204531222756812,0.00043760079826372683,3.454359837948205e-05,0.0002020060844119935
15.0,0.00020088719958817117,0.000284469025608349,0.0002572472814273133,0.0007186926939056417,0.00046906566835569263,0.0005786289145722676,0.0008153477027944961,0.00048661360196175903,0.00048058803542923415,0.0007132707393327578,0.00032037929188937967,0.0005354801562124359,0.0002715195851531224,7.641298523571579e-05,0.0003863024169642439,0.00012893523971629477,0.003141343496687968,0.0024565482682107373,0.0015431226653105856,0.0009932147617549365,0.00016256807226974876,0.0028501070311600925,0.0007019495446903814,0.000579537153695434,0.00018140651364635476,0.0007782603358920173,6.136536513591207e-05,0.00035928254932413446
18.75,0.0003021599460595711,0.00044795163213436724,0.00041879286097613156,0.001170601838469026,0.00077683649480432,0.0009811047747256827,0.001391790862608454,0.0008390857762056714,0.000822662706740107,0.0012295164056208834,0.0005233469066758175,0.000848405736174531,0.0004199687039404416,0.00011938477277147314,0.0006035975265066311,0.0002014613120567106,0.004908007408827749,0.003838356669079277,0.0024364012165874133,0.0017644792006948026,0.00025401261292148236,0.004453292236187644,0.001096796163578721,0.0009055268026491155,0.0002834476775724293,0.001216031774831277,9.588338302486262e-05,0.0005613789833189601
22.5,0.00042956656854381884,0.000626204942866007,0.0006029883817590839,0.0016856284855352038,0.00111854202339461,0.001412790875604983,0.0020041788421561735,0.001208283517736167,0.001184660983707818,0.001770503624094072,0.0007536027212875698,0.0012201181026585586,0.0005824706517001426,0.0001719140727909213,0.0008691804381695488,0.0002901042893616633,0.007067590329176925,0.005527233603474159,0.003477470618315696,0.002345750072114316,0.0003657781626069347,0.006412740820110208,0.0015793864755533583,0.0013039585958147264,0.0004081646557042982,0.001751085755757039,0.00013807207155580218,0.0008083857359793025
26.25,0.0005846878294068646,0.000848819837448022,0.0008206992488526904,0.0022943418270124326,0.0015224537739080256,0.0019228940902931567,0.0027279044658130324,0.0016446081213631158,0.0016124552278245301,0.0024098521550169317,0.0010257349555102156,0.0016613029368528992,0.0007923402242095865,0.00023399415463208734,0.0011830511519529971,0.0003948641716311528,0.009619653919041508,0.007523179071395382,0.004709684388317216,0.0003625174799805673,0.0004978647213261055,0.008728452782927784,0.002149720480614293,0.0017748325331922662,0.0005555574480419614,0.0023834222786693034,0.00018793143072873072,0.0011003028073051616
30.0,0.0007636803201952011,0.0011431383695922608,0.0010720879943073277,0.0029967407064807063,0.001988656870832996,0.002511571338047063,0.0035629037933944943,0.002148059587086519,0.0021060639710361213,0.003147490618969624,0.001339738171177902,0.0021720166883660297,0.001037172695824755,0.00030562501829497124,0.0015452096678569755,0.0005157409588651791,0.012564631545410074,0.009826193072842949,0.0061939339319263265,0.00260761310502522,0.000650272289078995,0.01140042812464037,0.002807798178761526,0.002318148614781736,0.000725626054585419,0.0031130413435680694,0.0002454614605436483,0.0014371301972965378
