time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
33.34028,0.029979246,23.17351,33.34028,0.029979246,17.93149,33.34028,29.993828,33.34028,31.425924,33.34028,26.777779,33.34028,48.0,33.34028,0.0,33.34028,121.111115,33.34028,972.1603,33.34028,19.092373,33.34028,0.0,33.34028,0.0,33.34028,0.0,33.34028,0.41674113,33.34028,0.4030009,33.34028,26.19111,33.34028,26.01222,33.34028,25.786667,33.34028,20260202,33.34028,081000,33.34028,2026.0,33.34028,2.0,33.34028,2.0,33.34028,8.0,33.34028,10.0,33.34028,0.0,33.34028,-1.0,33.34028,-999.0,33.34028,-999.0,33.34028,-999.0,33.34028,4.0235553,33.34028,2500.0,33.34028,0.029979246,3167.9265,33.34028,0.029979246,2560.0881,33.34028,,33.34028,,33.34028,,33.34028,,33.34028,,33.34028,,33.34028,,33.34028,,33.34028,0.11991698,0.24813955,33.34028,0.11991698,0.012626706,,,,,,,,,,,,,33.34028,0.0,0.0,,33.34028,0.0,2.2184641,33.34028,0.11991698,0.054979872,33.34028,0.11991698,27.741909,33.34028,0.11991698,0.0018326622,33.34028,0.11991698,0.04836338,33.34028,0.11991698,6.0,33.34028,0.0,WaterCloud,33.34028,30.0,33.34028,
33.34028,0.05995849,10.453638,33.34028,0.05995849,1.4310279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.05995849,1397.4501,33.34028,0.05995849,150.1847,,,,,,,,,,,,,,,,,33.34028,0.14989623,0.24295545,33.34028,0.14989623,0.012736514,,,,,,,,,,,,,33.34028,0.0,1.0,,33.34028,1.0,,33.34028,0.14989623,0.05347788,33.34028,0.14989623,27.735304,33.34028,0.14989623,0.0017825961,33.34028,0.14989623,0.049759015,33.34028,0.14989623,6.0,33.34028,1.0,MixedCloud,,,,
33.34028,0.08993774,9.779771,33.34028,0.08993774,1.1626059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.08993774,1303.2054,33.34028,0.08993774,110.643166,,,,,,,,,,,,,,,,,33.34028,0.17987548,0.23668838,33.34028,0.17987548,0.012114439,,,,,,,,,,,,,33.34028,0.0,2.0,,33.34028,2.0,,33.34028,0.17987548,0.05145052,33.34028,0.17987548,27.726381,33.34028,0.17987548,0.0017150174,33.34028,0.17987548,0.048662007,33.34028,0.17987548,6.0,33.34028,2.0,Ice/dust/ash,,,,
33.34028,0.11991698,9.182137,33.34028,0.11991698,1.0071546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.11991698,1220.1509,33.34028,0.11991698,87.97712,,,,,,,,,,,,,,,,,33.34028,0.20985472,0.23162746,33.34028,0.20985472,0.011526559,,,,,,,,,,,,,33.34028,1.0,0.0,,33.34028,3.0,,33.34028,0.20985472,0.04991276,33.34028,0.20985472,27.719614,33.34028,0.20985472,0.0016637585,33.34028,0.20985472,0.04739443,33.34028,0.20985472,6.0,33.34028,3.0,Rain/Dust,,,,
33.34028,0.14989623,8.645262,33.34028,0.14989623,0.93293166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.14989623,1145.4369,33.34028,0.14989623,77.10535,,,,,,,,,,,,,,,,,33.34028,0.23983397,0.22843003,33.34028,0.23983397,0.0113945315,,,,,,,,,,,,,33.34028,1.0,1.0,,33.34028,4.0,,33.34028,0.23983397,0.049016073,33.34028,0.23983397,27.715672,33.34028,0.23983397,0.0016338691,33.34028,0.23983397,0.047498003,33.34028,0.23983397,6.0,33.34028,4.0,Molecular,,,,
33.34028,0.17987548,8.09811,33.34028,0.17987548,0.8603748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.17987548,1069.3768,33.34028,0.17987548,66.612946,,,,,,,,,,,,,,,,,33.34028,0.2698132,0.22874077,33.34028,0.2698132,0.011456929,,,,,,,,,,,,,33.34028,1.0,2.0,,33.34028,5.0,,33.34028,0.2698132,0.049755517,33.34028,0.2698132,27.718925,33.34028,0.2698132,0.0016585169,33.34028,0.2698132,0.04769558,33.34028,0.2698132,6.0,33.34028,5.0,CleanAerosol,,,,
33.34028,0.20985472,7.595508,33.34028,0.20985472,0.8038971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.20985472,999.3898,33.34028,0.20985472,58.457485,,,,,,,,,,,,,,,,,33.34028,0.29979247,0.22893865,33.34028,0.29979247,0.01158973,,,,,,,,,,,,,33.34028,2.0,0.0,,33.34028,6.0,,33.34028,0.29979247,0.05031981,33.34028,0.29979247,27.721409,33.34028,0.29979247,0.0016773269,33.34028,0.29979247,0.048169438,33.34028,0.29979247,6.0,33.34028,6.0,PollutedAerosol,,,,
33.34028,0.23983397,7.152477,33.34028,0.23983397,0.76904655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.23983397,937.55597,33.34028,0.23983397,53.37459,,,,,,,,,,,,,,,,,33.34028,0.3297717,0.23177825,33.34028,0.3297717,0.011653598,,,,,,,,,,,,,33.34028,2.0,1.0,,33.34028,7.0,,33.34028,0.3297717,0.051994905,33.34028,0.3297717,27.728779,33.34028,0.3297717,0.0017331634,33.34028,0.3297717,0.047867425,33.34028,0.3297717,6.0,33.34028,7.0,Undetected,,,,
33.34028,0.2698132,6.7091928,33.34028,0.2698132,0.74010116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.2698132,876.0368,33.34028,0.2698132,49.098244,,,,,,,,,,,,,,,,,33.34028,0.35975096,0.2375142,33.34028,0.35975096,0.011713188,,,,,,,,,,,,,33.34028,2.0,2.0,,33.34028,8.0,,33.34028,0.35975096,0.054951012,33.34028,0.35975096,27.741783,33.34028,0.35975096,0.0018317004,33.34028,0.35975096,0.046994492,33.34028,0.35975096,6.0,,,,,,,
33.34028,0.29979247,6.265179,33.34028,0.29979247,0.71545434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34028,0.29979247,814.3864,33.34028,0.29979247,45.596592,,,,,,,,,,,,,,,,,33.34028,0.3897302,0.24247535,33.34028,0.3897302,0.011940982,,,,,,,,,,,,,33.34028,3.0,0.0,,33.34028,9.0,,33.34028,0.3897302,0.057616968,33.34028,0.3897302,27.753515,33.34028,0.3897302,0.0019205655,33.34028,0.3897302,0.04693481,33.34028,0.3897302,6.0,,,,,,,
