File,Time,Time_mapping,PBL_MPL_m,rmin_m,rmax_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,PBL_pos_m,HWCT_peak_pos,PBL_neg_m,HWCT_peak_neg,Delta_TR40_minus_MPL_m,NRB_all_nan
NRB_22-01-2026,2026-01-22 00:05:00,exact,2248.4434,1948.4434,2548.4434,,no_data,,,,,,,TRUE
NRB_22-01-2026,2026-01-22 00:35:00,exact,2248.4434,1948.4434,2548.4434,2130,positive,0.007989979,2130,0.007989979,2463.75,-0.024956305,-118.4434,FALSE
NRB_22-01-2026,2026-01-22 01:05:00,exact,2248.4434,1948.4434,2548.4434,2115,positive,0.011422337,2115,0.011422337,2227.5,-0.041063239,-133.4434,FALSE
NRB_22-01-2026,2026-01-22 01:35:00,exact,2218.4641,1918.4641,2518.4641,2077.5,positive,0.008252845,2077.5,0.008252845,2325,-0.046255599,-140.9641,FALSE
NRB_22-01-2026,2026-01-22 02:05:00,exact,2218.4641,1918.4641,2518.4641,2328.75,positive,0.146790582,2328.75,0.146790582,2381.25,-0.284825682,110.2859,FALSE
NRB_22-01-2026,2026-01-22 02:35:00,exact,2218.4641,1918.4641,2518.4641,2313.75,positive,0.14060472,2313.75,0.14060472,2373.75,-0.368223361,95.2859,FALSE
NRB_22-01-2026,2026-01-22 03:05:00,exact,2188.485,1888.485,2488.485,2373.75,positive,0.300633744,2373.75,0.300633744,2486.25,-0.278011789,185.265,FALSE
NRB_22-01-2026,2026-01-22 03:35:00,exact,2218.4641,1918.4641,2518.4641,2370,positive,0.378829076,2370,0.378829076,2452.5,-0.339275308,151.5359,FALSE
NRB_22-01-2026,2026-01-22 04:05:00,exact,2218.4641,1918.4641,2518.4641,2171.25,positive,0.009996023,2171.25,0.009996023,2403.75,-0.037505234,-47.2141,FALSE
NRB_22-01-2026,2026-01-22 04:35:00,exact,2218.4641,1918.4641,2518.4641,2160,positive,0.013535969,2160,0.013535969,2418.75,-0.039973589,-58.4641,FALSE
NRB_22-01-2026,2026-01-22 05:05:00,exact,2188.485,1888.485,2488.485,2302.5,positive,0.01574127,2302.5,0.01574127,2445,-0.034325631,114.015,FALSE
NRB_22-01-2026,2026-01-22 05:35:00,exact,2188.485,1888.485,2488.485,2088.75,positive,0.013279389,2088.75,0.013279389,2486.25,-0.038322615,-99.735,FALSE
NRB_22-01-2026,2026-01-22 06:05:00,exact,2158.5057,1858.5057,2458.5057,2167.5,positive,0.007572381,2167.5,0.007572381,1998.75,-0.011218885,8.9943,FALSE
NRB_22-01-2026,2026-01-22 06:35:00,exact,2098.5472,1798.5472,2398.5472,2257.5,positive,0.006246558,2257.5,0.006246558,1800,-0.012019803,158.9528,FALSE
NRB_22-01-2026,2026-01-22 07:05:00,exact,2098.5472,1798.5472,2398.5472,2021.25,positive,0.034543579,2021.25,0.034543579,1972.5,-0.041699264,-77.2972,FALSE
NRB_22-01-2026,2026-01-22 07:35:00,exact,2098.5472,1798.5472,2398.5472,1863.75,positive,0.023619559,1863.75,0.023619559,2111.25,-0.020865198,-234.7972,FALSE
NRB_22-01-2026,2026-01-22 08:05:00,exact,2008.6095,1708.6095,2308.6095,1942.5,positive,0.025409588,1942.5,0.025409588,1991.25,-0.038205563,-66.1095,FALSE
NRB_22-01-2026,2026-01-22 08:35:00,exact,1978.6303,1678.6303,2278.6303,1725,positive,0.02047829,1725,0.02047829,1773.75,-0.017528116,-253.6303,FALSE
NRB_22-01-2026,2026-01-22 09:05:00,exact,2068.568,1768.568,2368.568,1987.5,positive,0.040850465,1987.5,0.040850465,2336.25,-0.033808633,-81.068,FALSE
NRB_22-01-2026,2026-01-22 09:35:00,exact,2038.5888,1738.5888,2338.5888,2122.5,positive,0.030078061,2122.5,0.030078061,2235,-0.016141495,83.9112,FALSE
NRB_22-01-2026,2026-01-22 10:05:00,exact,2038.5888,1738.5888,2338.5888,2280,positive,0.030741101,2280,0.030741101,2336.25,-0.035412834,241.4112,FALSE
NRB_22-01-2026,2026-01-22 10:35:00,exact,1978.6303,1678.6303,2278.6303,1980,positive,0.028098061,1980,0.028098061,2028.75,-0.026006865,1.3697,FALSE
NRB_22-01-2026,2026-01-22 11:05:00,exact,2008.6095,1708.6095,2308.6095,2246.25,positive,0.025942163,2246.25,0.025942163,1916.25,-0.018784276,237.6405,FALSE
NRB_22-01-2026,2026-01-22 11:35:00,exact,1768.7756,1468.7756,2068.7756,1807.5,positive,0.015381577,1807.5,0.015381577,1751.25,-0.01617461,38.7244,FALSE
NRB_22-01-2026,2026-01-22 12:05:00,exact,1588.9001,1288.9001,1888.9001,1871.25,positive,0.015575287,1871.25,0.015575287,1830,-0.015556479,282.3499,FALSE
NRB_22-01-2026,2026-01-22 12:35:00,exact,2158.5057,1858.5057,2458.5057,2456.25,positive,0.027335482,2456.25,0.027335482,2122.5,-0.030254219,297.7443,FALSE
NRB_22-01-2026,2026-01-22 13:05:00,exact,2158.5057,1858.5057,2458.5057,2426.25,positive,0.043380548,2426.25,0.043380548,2122.5,-0.047927902,267.7443,FALSE
NRB_22-01-2026,2026-01-22 13:35:00,exact,2128.5264,1828.5264,2428.5264,2055,positive,0.022307669,2055,0.022307669,2107.5,-0.017074968,-73.5264,FALSE
NRB_22-01-2026,2026-01-22 14:05:00,exact,2188.485,1888.485,2488.485,2396.25,positive,0.02239837,2396.25,0.02239837,2448.75,-0.022736984,207.765,FALSE
NRB_22-01-2026,2026-01-22 14:35:00,exact,2158.5057,1858.5057,2458.5057,2456.25,positive,0.023368525,2456.25,0.023368525,2400,-0.023779817,297.7443,FALSE
NRB_22-01-2026,2026-01-22 15:05:00,exact,2128.5264,1828.5264,2428.5264,2388.75,positive,0.030061682,2388.75,0.030061682,2336.25,-0.022931954,260.2236,FALSE
NRB_22-01-2026,2026-01-22 15:35:00,exact,2188.485,1888.485,2488.485,2070,positive,0.024959172,2070,0.024959172,2021.25,-0.015265574,-118.485,FALSE
NRB_22-01-2026,2026-01-22 16:05:00,exact,2128.5264,1828.5264,2428.5264,2396.25,positive,0.019346816,2396.25,0.019346816,2355,-0.018824475,267.7236,FALSE
NRB_22-01-2026,2026-01-22 16:35:00,exact,2188.485,1888.485,2488.485,2471.25,positive,0.29247656,2471.25,0.29247656,2430,-0.024963598,282.765,FALSE
NRB_22-01-2026,2026-01-22 17:05:00,exact,2188.485,1888.485,2488.485,2122.5,positive,0.028301813,2122.5,0.028301813,2261.25,-0.023846766,-65.985,FALSE
NRB_22-01-2026,2026-01-22 17:35:00,exact,2308.402,2008.402,2608.402,2062.5,positive,0.021000562,2062.5,0.021000562,2107.5,-0.028109155,-245.902,FALSE
NRB_22-01-2026,2026-01-22 18:05:00,exact,2338.3813,2038.3813,2638.3813,2550,positive,0.045776473,2550,0.045776473,2501.25,-0.062148823,211.6187,FALSE
NRB_22-01-2026,2026-01-22 18:35:00,exact,2368.3605,2068.3605,2668.3605,2632.5,positive,0.033505539,2632.5,0.033505539,2197.5,-0.03364612,264.1395,FALSE
NRB_22-01-2026,2026-01-22 19:05:00,exact,2458.2982,2158.2982,2758.2982,2643.75,positive,0.015743187,2643.75,0.015743187,2703.75,-0.051822561,185.4518,FALSE
NRB_22-01-2026,2026-01-22 19:35:00,exact,1978.6303,1678.6303,2278.6303,2156.25,positive,0.005951397,2156.25,0.005951397,2257.5,-0.013508356,177.6197,FALSE
NRB_22-01-2026,2026-01-22 20:05:00,exact,2548.236,2248.236,2848.236,2433.75,positive,0.377831531,2433.75,0.377831531,2516.25,-0.265382846,-114.486,FALSE
NRB_22-01-2026,2026-01-22 20:35:00,exact,2248.4434,1948.4434,2548.4434,2347.5,positive,0.289073625,2347.5,0.289073625,2411.25,-0.110785921,99.0566,FALSE
NRB_22-01-2026,2026-01-22 21:05:00,exact,2038.5888,1738.5888,2338.5888,2302.5,positive,0.015931306,2302.5,0.015931306,1766.25,-0.061497972,263.9112,FALSE
