File,Time,Time_mapping,PBL_MPL_m,rmin_m,rmax_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,PBL_pos_m,HWCT_peak_pos,PBL_neg_m,HWCT_peak_neg,Delta_TR40_minus_MPL_m,NRB_all_nan
NRB_21-01-2026,2026-01-21 00:05:00,exact,2248.4434,1948.4434,2548.4434,2347.5,positive,0.010869957,2347.5,0.010869957,2246.25,-0.037240312,99.0566,FALSE
NRB_21-01-2026,2026-01-21 00:35:00,exact,2248.4434,1948.4434,2548.4434,1950,positive,0.006660685,1950,0.006660685,2220,-0.029570179,-298.4434,FALSE
NRB_21-01-2026,2026-01-21 01:05:00,exact,2248.4434,1948.4434,2548.4434,1953.75,positive,0.00584602,1953.75,0.00584602,2235,-0.024392799,-294.6934,FALSE
NRB_21-01-2026,2026-01-21 01:35:00,exact,2218.4641,1918.4641,2518.4641,2460,positive,0.006048374,2460,0.006048374,2163.75,-0.044124216,241.5359,FALSE
NRB_21-01-2026,2026-01-21 02:05:00,exact,2218.4641,1918.4641,2518.4641,1987.5,positive,0.004849274,1987.5,0.004849274,2167.5,-0.034807556,-230.9641,FALSE
NRB_21-01-2026,2026-01-21 02:35:00,exact,2218.4641,1918.4641,2518.4641,2516.25,positive,0.011272068,2516.25,0.011272068,2163.75,-0.031536734,297.7859,FALSE
NRB_21-01-2026,2026-01-21 03:05:00,exact,2188.485,1888.485,2488.485,2340,positive,0.006474011,2340,0.006474011,2152.5,-0.023334978,151.515,FALSE
NRB_21-01-2026,2026-01-21 03:35:00,exact,2218.4641,1918.4641,2518.4641,2298.75,positive,0.005240126,2298.75,0.005240126,2178.75,-0.028313841,80.2859,FALSE
NRB_21-01-2026,2026-01-21 04:05:00,exact,2218.4641,1918.4641,2518.4641,2115,positive,0.010159031,2115,0.010159031,2178.75,-0.044345993,-103.4641,FALSE
NRB_21-01-2026,2026-01-21 04:35:00,exact,2218.4641,1918.4641,2518.4641,1961.25,positive,0.003143537,1961.25,0.003143537,2171.25,-0.030005151,-257.2141,FALSE
NRB_21-01-2026,2026-01-21 05:05:00,exact,2188.485,1888.485,2488.485,2107.5,positive,0.008106289,2107.5,0.008106289,2163.75,-0.068138097,-80.985,FALSE
NRB_21-01-2026,2026-01-21 05:35:00,exact,2188.485,1888.485,2488.485,,no_data,,,,,,,TRUE
NRB_21-01-2026,2026-01-21 06:05:00,exact,2158.5057,1858.5057,2458.5057,2407.5,positive,0.012701342,2407.5,0.012701342,2141.25,-0.052240114,248.9943,FALSE
NRB_21-01-2026,2026-01-21 06:35:00,exact,2098.5472,1798.5472,2398.5472,1987.5,positive,0.007161692,1987.5,0.007161692,2055,-0.045983931,-111.0472,FALSE
NRB_21-01-2026,2026-01-21 07:05:00,exact,2098.5472,1798.5472,2398.5472,1953.75,positive,0.02969041,1953.75,0.02969041,2070,-0.066382791,-144.7972,FALSE
NRB_21-01-2026,2026-01-21 07:35:00,exact,2098.5472,1798.5472,2398.5472,2227.5,positive,0.018264294,2227.5,0.018264294,2182.5,-0.027391267,128.9528,FALSE
NRB_21-01-2026,2026-01-21 08:05:00,exact,2008.6095,1708.6095,2308.6095,1860,positive,0.024730818,1860,0.024730818,1908.75,-0.039785935,-148.6095,FALSE
NRB_21-01-2026,2026-01-21 08:35:00,exact,1978.6303,1678.6303,2278.6303,1721.25,positive,0.017744803,1721.25,0.017744803,2250,-0.017365703,-257.3803,FALSE
NRB_21-01-2026,2026-01-21 09:05:00,exact,2068.568,1768.568,2368.568,2325,positive,0.016642108,2325,0.016642108,1927.5,-0.017029963,256.432,FALSE
NRB_21-01-2026,2026-01-21 09:35:00,exact,2038.5888,1738.5888,2338.5888,2073.75,positive,0.019860782,2073.75,0.019860782,2032.5,-0.024967202,35.1612,FALSE
NRB_21-01-2026,2026-01-21 10:05:00,exact,2038.5888,1738.5888,2338.5888,2250,positive,0.04097117,2250,0.04097117,2298.75,-0.026214316,211.4112,FALSE
NRB_21-01-2026,2026-01-21 10:35:00,exact,1978.6303,1678.6303,2278.6303,2276.25,positive,0.033483185,2276.25,0.033483185,2231.25,-0.026058344,297.6197,FALSE
NRB_21-01-2026,2026-01-21 11:05:00,exact,2008.6095,1708.6095,2308.6095,2283.75,positive,0.019419323,2283.75,0.019419323,2238.75,-0.017687247,275.1405,FALSE
NRB_21-01-2026,2026-01-21 11:35:00,exact,1768.7756,1468.7756,2068.7756,2032.5,positive,0.026638656,2032.5,0.026638656,1957.5,-0.024018914,263.7244,FALSE
NRB_21-01-2026,2026-01-21 12:05:00,exact,1588.9001,1288.9001,1888.9001,1871.25,positive,0.02103702,1871.25,0.02103702,1571.25,-0.021782357,282.3499,FALSE
NRB_21-01-2026,2026-01-21 12:35:00,exact,2158.5057,1858.5057,2458.5057,2295,positive,0.022365694,2295,0.022365694,2238.75,-0.026030913,136.4943,FALSE
NRB_21-01-2026,2026-01-21 13:05:00,exact,2158.5057,1858.5057,2458.5057,2145,positive,0.026968768,2145,0.026968768,2306.25,-0.022705024,-13.5057,FALSE
NRB_21-01-2026,2026-01-21 13:35:00,exact,2128.5264,1828.5264,2428.5264,2381.25,positive,0.029209509,2381.25,0.029209509,2340,-0.032808961,252.7236,FALSE
NRB_21-01-2026,2026-01-21 14:05:00,exact,2188.485,1888.485,2488.485,2403.75,positive,0.022724173,2403.75,0.022724173,2160,-0.021980302,215.265,FALSE
NRB_21-01-2026,2026-01-21 14:35:00,exact,2158.5057,1858.5057,2458.5057,2418.75,positive,0.02591838,2418.75,0.02591838,2231.25,-0.024309533,260.2443,FALSE
NRB_21-01-2026,2026-01-21 15:05:00,exact,2128.5264,1828.5264,2428.5264,2426.25,positive,0.023266875,2426.25,0.023266875,2268.75,-0.023388653,297.7236,FALSE
NRB_21-01-2026,2026-01-21 15:35:00,exact,2188.485,1888.485,2488.485,2043.75,positive,0.026895713,2043.75,0.026895713,2096.25,-0.025330708,-144.735,FALSE
NRB_21-01-2026,2026-01-21 16:05:00,exact,2128.5264,1828.5264,2428.5264,2040,positive,0.022076444,2040,0.022076444,2081.25,-0.034608586,-88.5264,FALSE
NRB_21-01-2026,2026-01-21 16:35:00,exact,2188.485,1888.485,2488.485,2403.75,positive,0.022430408,2403.75,0.022430408,2448.75,-0.02167567,215.265,FALSE
NRB_21-01-2026,2026-01-21 17:05:00,exact,2188.485,1888.485,2488.485,2486.25,positive,0.026461966,2486.25,0.026461966,2366.25,-0.030987342,297.765,FALSE
NRB_21-01-2026,2026-01-21 17:35:00,exact,2308.402,2008.402,2608.402,2355,positive,0.039839398,2355,0.039839398,2538.75,-0.057245524,46.598,FALSE
NRB_21-01-2026,2026-01-21 18:05:00,exact,2338.3813,2038.3813,2638.3813,2591.25,positive,0.024028658,2591.25,0.024028658,2456.25,-0.034417838,252.8687,FALSE
NRB_21-01-2026,2026-01-21 18:35:00,exact,2368.3605,2068.3605,2668.3605,2160,positive,0.008799166,2160,0.008799166,2351.25,-0.050482917,-208.3605,FALSE
NRB_21-01-2026,2026-01-21 19:05:00,exact,2458.2982,2158.2982,2758.2982,,no_data,,,,,,,TRUE
NRB_21-01-2026,2026-01-21 19:35:00,exact,1978.6303,1678.6303,2278.6303,2107.5,positive,0.006337105,2107.5,0.006337105,1878.75,-0.019796614,128.8697,FALSE
NRB_21-01-2026,2026-01-21 20:05:00,exact,2548.236,2248.236,2848.236,,no_data,,,,,,,TRUE
NRB_21-01-2026,2026-01-21 20:35:00,exact,2248.4434,1948.4434,2548.4434,2486.25,positive,0.023139026,2486.25,0.023139026,2546.25,-0.088688713,237.8066,FALSE
NRB_21-01-2026,2026-01-21 21:05:00,exact,2038.5888,1738.5888,2338.5888,2088.75,positive,0.012206353,2088.75,0.012206353,1818.75,-0.014035431,50.1612,FALSE
NRB_21-01-2026,2026-01-21 21:35:00,exact,2548.236,2248.236,2848.236,2358.75,positive,0.009918924,2358.75,0.009918924,2497.5,-0.050979666,-189.486,FALSE
NRB_21-01-2026,2026-01-21 22:05:00,exact,2578.2151,2278.2151,2878.2151,2385,positive,0.012655768,2385,0.012655768,2625,-0.02758399,-193.2151,FALSE
NRB_21-01-2026,2026-01-21 22:35:00,exact,2158.5057,1858.5057,2458.5057,2456.25,positive,0.021600709,2456.25,0.021600709,1983.75,-0.015501448,297.7443,FALSE
NRB_21-01-2026,2026-01-21 23:05:00,exact,1588.9001,1288.9001,1888.9001,1882.5,positive,0.000193978,1882.5,0.000193978,1312.5,-0.006175857,293.5999,FALSE
NRB_21-01-2026,2026-01-21 23:35:00,exact,2578.2151,2278.2151,2878.2151,2280,positive,0.011982719,2280,0.011982719,2557.5,-0.055590676,-298.2151,FALSE
