range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
14.749789,14749.789,14839.726,0.13321434,-0.4157557,-0.046962198,,-0.1287248150695276
14.779768,14779.768,14869.706,0.13474639,-0.03571611,-0.044674106,,-0.1224530852079469
14.809748,14809.748000000001,14899.685,0.13523725,0.06700863,0.11967928,,0.3280445516126442
14.839726,14839.726,14929.665,0.13413654,-0.21253055,0.05793788,,0.1588094937234514
14.869706,14869.706,14959.643,0.13413654,-0.19042507,0.12489425,,0.34233894321763536
14.899685,14899.685,14989.623,0.13717091,0.57529825,0.059170723,,0.1621887539357771
14.929665,14929.665,15019.603,0.1360107,0.28188196,0.019935247,,0.05464311920494767
14.959643,14959.643,15049.581999999999,0.13727504,0.6037156,0.036275562,,0.0994324203052247
14.989623,14989.623,15079.561,0.13608508,0.27059916,0.039849978,,0.10923000342902911
15.019602,15019.602,15109.54,0.13544549,0.13746504,-0.01923568,,-0.05272558475088008
15.049582,15049.581999999999,15139.519999999999,0.13571322,0.18825316,-0.05803899,,-0.15908663931301006
15.07956,15079.560000000001,15169.498000000001,0.1356686,0.20898649,-0.14321752,,-0.3925635843687804
15.10954,15109.54,15199.478,0.13456792,-0.0696205,0.055848937,,0.153083637336453
15.139519,15139.519,15229.457,0.13391343,-0.2560555,0.12650953,,0.34676647489503915
15.169498,15169.498000000001,15259.437,0.13244087,-0.6153359,-0.11097943,,-0.30419799778689205
15.199477,15199.477,15289.415,0.1358917,0.26093444,0.20067628,,0.5500597955794306
15.229457,15229.457,15319.395,0.13727503,0.6161228,-0.054148212,,-0.1484218983116075
15.259436,15259.436000000002,15349.374,0.13297635,-0.49283627,-0.030117426,,-0.08255278196774739
15.289415,15289.415,15379.354,0.13849472,0.9026172,0.13264766,,0.3635912761771835
15.319394,15319.394,15409.331999999999,0.13398781,-0.21020055,0.07256271,,0.19889659818933011
15.349374,15349.374,15439.312,0.13447866,-0.08429449,0.13745818,,0.3767770580136356
15.379354,15379.354,15469.291,0.13724527,0.5952647,0.12538837,,0.3436933411872993
15.409332,15409.331999999999,15499.269999999999,0.13626358,0.3164916,-0.0584424,,-0.1601923984098734
15.439312,15439.312,15529.249,0.13724527,0.5805932,0.0002808571,,0.000769837865307408
15.469291,15469.291,15559.229,0.13706678,0.5531785,0.057763916,,0.15833265310094147
15.49927,15499.269999999999,15589.207999999999,0.13401756,-0.23476543,0.048600137,,0.13321445575606802
15.529249,15529.249,15619.187,0.13491002,-0.011262734,0.07833655,,0.21472286948610889
15.559229,15559.229,15649.166,0.13604045,0.28349447,-0.016011694,,-0.04388854093030026
15.589208,15589.207999999999,15679.145999999999,0.13571323,0.2174825,0.091710836,,0.25138219475953355
15.619187,15619.187,15709.125,0.13617434,0.3220838,0.06514026,,0.17855143666999887
15.649166,15649.166,15739.104,0.13474639,-0.009893964,0.25702327,,0.7045086113583369
15.679146,15679.145999999999,15769.083,0.13659081,0.4260591,0.1107529,,0.3035770721573527
15.709125,15709.125,15799.063,0.13595122,0.26018232,0.024604997,,0.06744304618389628
15.739104,15739.104,15829.042,0.13913433,1.0747514,-0.07497721,,-0.20551481622898352
15.769083,15769.083,15859.021,0.13676931,0.48375395,-0.18142077,,-0.4972798561945781
15.799063,15799.063,15889.001,0.13532649,0.11511253,-0.07943415,,-0.21773142451626978
15.8290415,15829.041500000001,15918.98,0.13374981,-0.27422655,0.104448855,,0.2862974928068508
15.859021,15859.021,15948.959,0.13195002,-0.72046787,0.015729168,,0.04311412855926232
15.889,15889.0,15978.938,0.13366058,-0.31755558,-0.23403613,,-0.6415001604873333
15.91898,15918.98,16008.917,0.13668007,0.42964807,0.03917267,,0.10737348157191519
15.948958,15948.957999999999,16038.896999999999,0.13525212,0.102623016,-0.13286994,,-0.3642005524272784
15.978938,15978.938,16068.876,0.13123606,-0.9075967,0.21710236,,0.5950841811568958
16.008917,16008.917,16098.856000000002,0.1356091,0.16613913,-0.05402747,,-0.14809094081210702
16.038897,16038.896999999999,16128.834,0.13281274,-0.5364605,-0.04866638,,-0.13339602983666474
16.068876,16068.876,16158.812999999998,0.13837573,0.8601332,0.118609,,0.3251108815345824
16.098854,16098.854,16188.793,0.13413654,-0.15903303,-0.013750229,,-0.03768979648671162
16.128834,16128.834,16218.773,0.13413654,-0.19019473,-0.008845376,,-0.024245445024111474
16.158813,16158.812999999998,16248.750000000002,0.13668005,0.446901,-0.025526484,,-0.06996887011709407
16.188793,16188.793,16278.73,0.13459766,-0.062716074,0.090023346,,0.24675673327279313
16.218773,16218.773,16308.710000000001,0.13485052,0.005267779,0.00024946325,,0.0006837863662789662
16.24875,16248.750000000002,16338.69,0.13461253,-0.06292221,0.13602012,,0.3728352917539114
16.27873,16278.73,16368.668,0.13627845,0.33625638,0.2100247,,0.5756840995290088
16.30871,16308.710000000001,16398.647,0.13498439,0.04138755,-0.07412786,,-0.20318672200989898
16.33869,16338.69,16428.627,0.13702217,0.53524363,-0.038772658,,-0.10627703649654645
16.368668,16368.668,16458.607,0.13815261,0.8104119,-0.039460234,,-0.10816170325439804
16.398647,16398.647,16488.585,0.13382418,-0.2551437,0.08380855,,0.22972178814959338
16.428627,16428.627,16518.564000000002,0.13428529,-0.14663512,0.11135062,,0.3052154408824145
16.458607,16458.607,16548.543999999998,0.13444892,-0.12195803,0.058825918,,0.161243632928876
16.488585,16488.585,16578.524,0.13618919,0.34781516,-0.06428644,,-0.17621109004476926
16.518564,16518.564000000002,16608.501,0.13656107,0.42880282,-0.091008,,-0.24945569987690033
16.548544,16548.543999999998,16638.481,0.13587683,0.263346,0.024901908,,0.06825688827806548
16.578524,16578.524,16668.46,0.13397294,-0.22683102,0.083483525,,0.22883088472514182
16.608501,16608.501,16698.440000000002,0.13361594,-0.33074182,0.033082824,,0.09068102820438109
16.638481,16638.481,16728.42,0.1352521,0.0873557,-0.015316029,,-0.04198170197707786
16.66846,16668.46,16758.398,0.13624871,0.35655275,-0.1502519,,-0.4118450341984665
16.69844,16698.440000000002,16788.378,0.13541573,0.1441301,0.041454222,,0.11362728509430378
16.728418,16728.418,16818.357,0.13471664,-0.038957436,0.016798731,,0.046045833318486086
16.758398,16758.398,16848.337,0.13273835,-0.5518424,-0.012084739,,-0.0331246376700364
16.788378,16788.378,16878.315000000002,0.13563886,0.19516534,-0.12138735,,-0.3327264235062001
16.818357,16818.357,16908.295,0.13513312,0.07045122,0.01075438,,0.02947808313161633
16.848335,16848.335,16938.274,0.13474639,-0.029069278,-0.021464948,,-0.05883607623682832
16.878315,16878.315000000002,16968.254,0.13322921,-0.40420124,-0.033810392,,-0.09267531425228938
16.908295,16908.295,16998.232,0.13522236,0.08742695,-0.15883638,,-0.43537535534033595
16.938274,16938.274,17028.212,0.13465714,-0.06130192,0.087338924,,0.2393986508099882
16.968252,16968.252,17058.191000000003,0.13452329,-0.08840391,-0.025954403,,-0.07114180912944051
16.998232,16998.232,17088.171,0.13279787,-0.5120877,-0.09279838,,-0.25436318598741375
17.028212,17028.212,17118.148999999998,0.13617432,0.3208132,-0.036032565,,-0.09876635812714162
17.058191,17058.191000000003,17148.129,0.13458279,-0.07731276,0.058436804,,0.1601770596034332
17.088171,17088.171,17178.108,0.13361596,-0.30805087,-0.1616234,,-0.44301466204602025
17.118149,17118.148999999998,17208.088,0.13446379,-0.098356485,0.15787104,,0.43272932899848504
17.148129,17148.129,17238.066,0.13569835,0.20154907,0.064723045,,0.17740783764766963
17.178108,17178.108,17268.045000000002,0.13281274,-0.52478063,0.17082092,,0.46822534449956044
17.208088,17208.088,17298.024999999998,0.1371114,0.5507994,-0.058515668,,-0.1603932282294341
17.238066,17238.066,17328.005,0.13590659,0.2547385,-0.16963631,,-0.4649782924092918
17.268045,17268.045000000002,17357.983,0.13731964,0.62217647,0.105170935,,0.2882767360796083
17.298025,17298.024999999998,17387.962000000003,0.13419604,-0.15979531,0.20179781,,0.5531339434684396
17.328005,17328.005,17417.942,0.13261937,-0.5434552,-0.12493057,,-0.3424384974438521
17.357983,17357.983,17447.922,0.13632305,0.38539195,-0.12456576,,-0.3414385421226485
17.387962,17387.962000000003,17477.900999999998,0.13770638,0.73228735,-0.08813736,,-0.24158718820435918
17.417942,17417.942,17507.88,0.13336307,-0.38017213,0.062136933,,0.1703192258891423
17.447922,17447.922,17537.859,0.13325898,-0.41991308,-0.0204001,,-0.055917295436211704
17.4779,17477.9,17567.839,0.1338093,-0.2924034,-0.12723549,,-0.3487563533659717
17.50788,17507.88,17597.818,0.13584709,0.2545663,0.06410274,,0.17570756274972502
17.537859,17537.859,17627.796,0.13464227,-0.085779026,0.0341249,,0.09353739025941935
17.567839,17567.839,17657.775999999998,0.13340771,-0.3823603,0.04823573,,0.13221560507013885
17.597816,17597.816000000003,17687.756,0.13577272,0.219876,0.03925039,,0.10758651445907273
17.627796,17627.796,17717.735,0.13534136,0.11184629,0.013683366,,0.03750652296723126
17.657776,17657.775999999998,17747.713,0.1356537,0.20136021,0.04340289,,0.11896864343387524
17.687756,17687.756,17777.693,0.13541573,0.14253639,0.0034695985,,0.009510275163824538
17.717733,17717.733,17807.673000000003,0.13510337,0.062445335,0.024354616,,0.06675674423691494
17.747713,17747.713,17837.652,0.13547523,0.13545206,-0.16613118,,-0.4553706243217663
17.777693,17777.693,17867.629999999997,0.13492489,0.011564084,-0.126962,,-0.34800670894614777
17.807673,17807.673000000003,17897.61,0.1352075,0.0930785,0.05280827,,0.1447490764783131
17.83765,17837.65,17927.59,0.13281274,-0.5228003,0.034094885,,0.09345511823023724
17.86763,17867.629999999997,17957.57,0.13339283,-0.38101593,-0.0786053,,-0.2154595214215642
17.89761,17897.61,17987.547,0.13571323,0.21235283,-0.069925,,-0.19166655474125632
17.92759,17927.59,18017.527000000002,0.13534136,0.10500502,0.021022264,,0.057622665909776785
17.95757,17957.57,18047.505999999998,0.13391344,-0.25309446,0.021145301,,0.057959914074177214
17.987547,17987.547,18077.486,0.13407704,-0.206398,-0.09375005,,-0.2569717424429105
18.017527,18017.527000000002,18107.464,0.1351926,0.0833668,-0.16007966,,-0.4387832236875467
18.047506,18047.505999999998,18137.444,0.13517776,0.072470054,-0.07904334,,-0.21666020240317105
18.077486,18077.486,18167.423,0.13379444,-0.2590702,-0.14228016,,-0.3899942520591306
18.107464,18107.464,18197.403000000002,0.13303584,-0.4692698,0.037128787,,0.10177113601733209
18.137444,18137.444,18227.38,0.1339283,-0.2530263,-0.19812341,,-0.5430623011553718
18.167423,18167.423,18257.359999999997,0.1332441,-0.4011561,-0.19433957,,-0.5326906804690341
18.197403,18197.403000000002,18287.34,0.13544549,0.14914277,0.2106324,,0.5773498237380364
18.22738,18227.38,18317.32,0.13250037,-0.59755087,-0.010404785,,-0.028519832588823776
18.25736,18257.359999999997,18347.3,0.13250035,-0.61245626,0.09310332,,0.25519903581512626
18.28734,18287.34,18377.277,0.13754277,0.6728195,-0.10443328,,-0.28625480125747516
18.31732,18317.32,18407.257,0.13491002,0.02476206,0.03958698,,0.10850911790076538
18.347298,18347.298,18437.237,0.1360107,0.27147144,-0.0010826654,,-0.0029676188366902275
18.377277,18377.277,18467.216,0.13363081,-0.32156014,-0.06383797,,-0.17498182011549057
18.407257,18407.257,18497.194,0.13543062,0.14125513,0.0211278,,0.057911943300140364
18.437237,18437.237,18527.174,0.13495463,0.005194505,-0.11686312,,-0.32032537127942806
18.467215,18467.215,18557.154000000002,0.13415141,-0.16610485,-0.15873541,,-0.4350985934950413
18.497194,18497.194,18587.133,0.13513313,0.049724963,0.07947506,,0.21784356007228647
18.527174,18527.174,18617.111,0.13363081,-0.340315,0.023906348,,0.06552802799578869
