range_raw,range (m) for NRB,range (m),copol_raw,copol_snr,copol_nrb,pbls,Normalize copol nrb
0.029979246,29.979246,119.91698000000001,21.735117,8972.809,0.18045188,1.6788378,0.8049718325246006
0.05995849,59.958490000000005,149.89623,7.6639304,3152.0737,0.17766026,,0.7925187870527975
0.08993774,89.93774,179.87548,6.964376,2862.2734,0.1734441,,0.7737110581368288
0.11991698,119.91698000000001,209.85472,6.476305,2659.9375,0.17094387,,0.7625578646936074
0.14989623,149.89623,239.83397,6.1004014,2504.6653,0.16836688,,0.751062255101191
0.17987548,179.87548,269.8132,5.7010713,2339.2837,0.16949353,,0.7560880908814214
0.20985472,209.85472,299.79247,5.3634686,2199.5522,0.17043316,,0.7602796553195148
0.23983397,239.83397,329.7717,5.0257473,2059.9094,0.17294152,,0.7714691156112634
0.2698132,269.8132,359.75096,4.7207346,1933.9615,0.17853886,,0.7964381047792525
0.29979247,299.79247,389.7302,4.409832,1804.9097,0.1833953,,0.818102037603592
0.3297717,329.7717,419.70944,4.1042843,1678.9604,0.1870822,,0.834548808063035
0.35975096,359.75096,449.6887,3.8241408,1563.1499,0.1918697,,0.8559052087179437
0.3897302,389.7302,479.66793,3.5554068,1451.9448,0.19730951,,0.8801714775109629
0.41970944,419.70944,509.64719999999994,3.274907,1335.9642,0.20245653,,0.9031316490616321
0.44968867,449.68867,539.6264,3.0139818,1227.8065,0.20732653,,0.9248560712421869
0.47966793,479.66793,569.60565,2.796906,1137.9564,0.2111246,,0.9417987562835215
0.5096472,509.64719999999994,599.58494,2.5762455,1046.6909,0.21400724,,0.9546578298676188
0.5396264,539.6264,629.56417,2.3796966,965.60284,0.21755446,,0.970481506427641
0.56960565,569.60565,659.5434,2.203451,892.3883,0.21798567,,0.9724050768770202
0.59958494,599.58494,689.5227000000001,2.034315,822.4763,0.22137128,,0.9875078327248042
0.62956417,629.56417,719.5019,1.8895285,762.4856,0.22105461,,0.9860952099790309
0.6595434,659.5434,749.48114,1.746631,703.32227,0.22417167,,1.0
0.6895226,689.5226,779.4604,1.6360555,657.80414,0.22381838,,0.9984240203055097
0.7195019,719.5019,809.43966,1.5121373,606.30066,0.2220375,,0.9904797515225721
0.74948114,749.48114,839.4189,1.4189054,567.79803,0.22242075,,0.9921893787917091
0.7794604,779.4604,869.3981,1.3262383,529.5357,0.22264582,,0.993193386122341
0.80943966,809.43966,899.3774,1.2383013,493.28503,0.22281806,,0.9939617258505503
0.8394189,839.4189,929.35663,1.1629034,462.28998,0.22237661,,0.9919924761233211
0.8693981,869.3981,959.33586,1.0977836,435.18994,0.22027071,,0.9825983363553478
0.89937735,899.37735,989.31515,1.0295998,407.10754,0.22286661,,0.9941783009423091
0.92935663,929.35663,1019.2943999999999,0.96998364,382.28424,0.22130793,,0.987225236801778
0.95933586,959.33586,1049.2736,0.91131943,358.13803,0.21969071,,0.9800110335083823
0.9893151,989.3151,1079.2528,0.8698647,340.9643,0.219117,,0.9774517895147055
1.0192944,1019.2943999999999,1109.2321,0.82611924,322.8898,0.2187832,,0.9759627521176071
1.0492736,1049.2736,1139.2113,0.7820318,304.4432,0.21402733,,0.9547474486851973
1.0792528,1079.2528,1169.1906000000001,0.73940206,286.87766,0.20557569,,0.9170458069032542
1.1092321,1109.2321,1199.1699,0.70608354,273.11703,0.19469929,,0.8685276333088834
1.1392113,1139.2113,1229.1491,0.66003275,254.25311,0.1922605,,0.8576485155327611
1.1691905,1169.1905,1259.1283,0.606976,232.31744,0.18764421,,0.8370558599130747
1.1991699,1199.1699,1289.1075999999998,0.5556894,211.01639,0.1813919,,0.809165136700815
1.2291491,1229.1491,1319.0868,0.5228767,197.20107,0.17122027,,0.7637908483261958
1.2591283,1259.1283,1349.066,0.4943031,185.39444,0.16068462,,0.7167927151544172
1.2891076,1289.1075999999998,1379.0454000000002,0.46052355,171.36746,0.15798877,,0.704766886913052
1.3190868,1319.0868,1409.0246,0.4204522,154.64459,0.16368437,,0.7301742008702528
1.349066,1349.066,1439.0038,0.38365313,139.54747,0.16304858,,0.7273380262546111
1.3790452,1379.0452,1468.983,0.36553624,132.13222,0.16819018,,0.7502740199062621
1.4090246,1409.0246,1498.9623000000001,0.3637067,131.44608,0.17025763,,0.7594966393389495
