day,time_tag,raw_bin_index,bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,analog_bg_pretrigger,photon_bg_pretrigger,SNR_analog,SNR_Photon,photon_per_bin,photon_per_bin_bg_pretrigger,analog_bg_corr,Photon_per_bin_bg_corr,afterpulse_raw,afterpulse_counts_per_bin,photon_APcorr_counts,photon_deadtime_counts,photon_deadtime_corr,k_scale,b_offset,r2_overlap,analog_scaled_for_glue,weight_w,merged_counts_per_bin,range2_corrected_counts,range2_norm,ratio_mean_overlap,ratio_std_overlap
24-03-2026,08.35,1024,0,0.0,13.6513,0.0167876,116.777,0.795673,0.0,29.380032467532466,120.5790137962038,813.1775834544545,146.7650655482843,2.9194250000000004,3.014475344905095,-15.728732467532465,-0.09505034490509479,0.0,0.0,-0.09505034490509479,-0.09395723123549873,-0.09288897411906546,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.0793686361651269,0.0,-0.0793686361651269,-0.0,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1025,1,3.75,13.6297,0.0165022,116.192,0.780995,0.0,29.380032467532466,120.5790137962038,825.9322999357661,148.77431993802776,2.9048,3.014475344905095,-15.750332467532466,-0.10967534490509534,0.0,0.0,-0.10967534490509534,-0.10822253718815916,-0.10680771534991508,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.08339601800390373,0.0,-0.08339601800390373,-1.172756503179896,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1026,2,7.5,13.6479,0.0168503,117.745,0.794308,0.0,29.380032467532466,120.5790137962038,809.9499712171297,148.23594877553796,2.943625,3.014475344905095,-15.732132467532466,-0.07085034490509523,0.0,0.0,-0.07085034490509523,-0.07024120737972024,-0.06964245471894824,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.08000257589900839,0.0,-0.08000257589900839,-4.500144894319222,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1027,3,11.25,13.6917,0.0168206,116.96,0.770755,0.0,29.380032467532466,120.5790137962038,813.9840433753849,151.74731269988519,2.924,3.014475344905095,-15.688332467532465,-0.09047534490509523,0.0,0.0,-0.09047534490509523,-0.08948437859105801,-0.08851488497494567,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.071835940503711,0.0,-0.071835940503711,-9.091736220000923,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1028,4,15.0,13.6764,0.0165354,117.879,0.806255,0.0,29.380032467532466,120.5790137962038,827.0982256250227,146.20560492648107,2.946975,3.014475344905095,-15.703632467532467,-0.06750034490509504,0.0,0.0,-0.06750034490509504,-0.06694722411320207,-0.06640309456392374,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.07468866930617812,0.0,-0.07468866930617812,-16.804950593890077,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1029,5,18.75,13.6595,0.0171035,117.144,0.798063,0.0,29.380032467532466,120.5790137962038,798.6377057327447,146.78540415982198,2.9286000000000003,3.014475344905095,-15.720532467532466,-0.08587534490509485,0.0,0.0,-0.08587534490509485,-0.08498208611212534,-0.08410721902392485,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.07783972268929507,0.0,-0.07783972268929507,-27.365527507955296,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1030,6,22.5,13.6767,0.0167777,118.747,0.796697,0.0,29.380032467532466,120.5790137962038,815.1713286088082,149.04913662283153,2.968675,3.014475344905095,-15.703332467532466,-0.04580034490509499,0.0,0.0,-0.04580034490509499,-0.04554502123689656,-0.04529252849820417,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.07463273344730625,0.0,-0.07463273344730625,-37.78282130769879,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1031,7,26.25,13.6826,0.0169746,115.908,0.781678,0.0,29.380032467532466,120.5790137962038,806.063176746433,148.2810057338188,2.8977,3.014475344905095,-15.697432467532465,-0.11677534490509522,0.0,0.0,-0.11677534490509522,-0.11512976044495563,-0.11352991026894921,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.0735326615561589,0.0,-0.0735326615561589,-50.66859960354074,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1032,8,30.0,13.6657,0.0169149,116.058,0.805572,0.0,29.380032467532466,120.5790137962038,807.9090033047786,144.0690590040369,2.9014500000000005,3.014475344905095,-15.714332467532467,-0.11302534490509464,0.0,0.0,-0.11302534490509464,-0.11148305463526478,-0.10998228847078596,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.07668371493927584,0.0,-0.07668371493927584,-69.01534344534825,,1.0372965255305933,0.20240960516648454
24-03-2026,08.35,1033,9,33.75,13.6389,0.0164888,117.912,0.797721,0.0,29.380032467532466,120.5790137962038,827.1614671777205,147.81107680504837,2.9478000000000004,3.014475344905095,-15.741132467532466,-0.06667534490509475,0.0,0.0,-0.06667534490509475,-0.0661356080927316,-0.06560453944885614,0.18645286290632843,2.853298562294021,0.024868947987892964,-0.08168065166516536,0.0,-0.08168065166516536,-93.03936728735242,,1.0372965255305933,0.20240960516648454
