bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
0,0.0,49.1344,0.10153,185.228,0.859951,0.0,185.228,0.859951,483.9397222495814,215.39366777874554,427578504.1963765,427.5785041963765,39.862417232767235,217.9511495313562,38.0,389.5785041963765,757.4154270337361,0.0,757.4154270337361,0.2,3787.0771351686803,0.0,0.0,0.0,0.0
1,3.75,48.5578,0.0829505,182.785,0.859609,0.0,182.785,0.859609,585.3828488074213,212.63737350353475,414781408.37105745,414.78140837105747,39.285817232767236,205.15405370603716,36.06328740122878,378.7181209698287,750.1379013707962,0.0,750.1379013707962,0.2,3750.6895068539807,10548.814238026822,52744.071190134106,421952.56952107284,1.846153401940401e-07
2,7.5,45.2996,0.0768782,184.124,0.871929,0.0,184.124,0.871929,589.2385617769407,211.1685699179635,421741178.76434994,421.7411787643499,36.027617232767234,212.1138240993296,34.23847134592593,387.502707418424,709.0147065823968,0.0,709.0147065823968,0.2,3545.073532911984,39882.07724525982,199410.3862262991,1595283.0898103926,6.97978283828028e-07
3,11.25,42.5135,0.0647882,184.525,0.854134,0.0,184.525,0.854134,656.1920226214032,216.03753041091915,423850962.4936977,423.8509624936977,33.24151723276724,214.2236078286774,32.51885340007681,391.3321090936209,673.8500963681805,0.0,673.8500963681805,0.2,3369.2504818409025,85284.15282159785,426420.7641079892,3411366.1128639136,1.4925623421789333e-06
4,15.0,41.8748,0.0647531,186.583,0.881852,0.0,186.583,0.881852,646.6840969775965,211.58085483731963,434868621.5846593,434.86862158465925,32.60281723276724,225.24126691963895,30.898139760816136,403.9704818238431,665.7887789194816,0.0,665.7887789194816,0.2,3328.943894597408,149802.47525688336,749012.3762844168,5992099.010275334,2.621700819392937e-06
5,18.75,40.3864,0.0613461,183.806,0.861662,0.0,183.806,0.861662,658.3368787909908,213.31566205774422,420076496.2211262,420.0764962211262,31.114417232767238,210.4491415561059,29.370416759027677,390.7060794620985,647.0030189529193,0.0,647.0030189529193,0.2,3235.0150947645966,227461.9988506357,1137309.9942531786,9098479.954025427,3.980824133545587e-06
6,22.5,39.0347,0.0557797,184.609,0.849685,0.0,184.609,0.849685,699.8011821504956,217.26757563096913,424294419.6787995,424.2944196787995,29.762717232767237,214.6670650137792,27.930127845898994,396.3642918329005,629.9426106306925,0.0,629.9426106306925,0.2,3149.713053153462,318908.44663178804,1594542.2331589402,12756337.865271522,5.58123311655673e-06
7,26.25,38.4301,0.0621924,185.178,0.845579,0.0,185.178,0.845579,617.9227686984262,218.99550485525305,427312164.9919978,427.3121649919978,29.15811723276724,217.6848103269775,26.572051973526886,400.74011301847094,622.3116844846406,0.0,622.3116844846406,0.2,3111.558422423203,428811.6450901977,2144058.2254509884,17152465.803607907,7.504654641856776e-06
8,30.0,37.4636,0.0711637,186.449,0.853792,0.0,186.449,0.853792,526.4425542797803,218.3775439451295,434141408.05445725,434.14140805445726,28.191617232767236,224.51405338943695,25.29128328511626,408.850124769341,610.1130570943674,0.0,610.1130570943674,0.2,3050.565285471837,549101.7513849307,2745508.7569246534,21964070.055397227,9.60985797509258e-06
9,33.75,36.2891,0.0787633,186.232,0.87364,0.0,186.232,0.87364,460.73615503667315,213.1678952428918,432966696.9582783,432.9666969582783,27.017117232767234,223.339342293258,24.083212035431963,408.8834849228463,595.2891689724058,0.0,595.2891689724058,0.2,2976.445844862029,678071.569032631,3390357.845163155,27122862.76130524,1.1866965382858175e-05
