range_m,00.05,00.35,01.05,01.35,02.05,02.35,03.05,03.35,04.05,04.35,05.05,05.35,06.05,06.35,07.05,07.35,08.05,08.35,09.05,09.35,10.05,10.35,11.05,11.35,12.05,12.35,13.05,13.35,14.05,14.35,15.05,15.35,16.05,16.35,17.05,17.35,18.05,18.35,19.05,19.35,20.05,20.35,21.05,21.35,22.05,22.35,23.05,23.35
0.0,25.9671,25.7349,26.5315,25.6897,25.4649,27.066,31.4847,25.115,27.2966,25.4174,27.1546,26.5853,26.6566,25.9274,,25.9306,29.9751,31.9024,31.3624,30.0902,32.3774,32.7265,31.4199,28.5216,28.9153,,,28.0255,30.0591,32.4039,32.8634,30.9573,29.7074,28.882,27.7767,26.2549,27.6616,25.0149,27.6884,26.7033,33.6354,29.9377,27.652,27.7875,27.0908,28.6042,27.8685,28.0843
3.75,60.1914,57.2644,61.1656,58.0026,58.5146,61.5248,69.4941,57.7988,62.0989,58.242,65.2876,62.4694,61.1419,57.7118,,59.3763,65.7896,68.8876,64.6556,52.7974,64.5038,61.9059,57.0791,48.467,48.5121,,,45.7822,50.3592,57.2609,59.6157,61.5206,56.8757,57.0807,57.0549,56.5313,59.5116,54.6608,59.8702,60.2913,80.3373,67.0367,61.6643,62.592,65.1304,63.7088,62.8305,64.7271
7.5,276.91,241.371,270.97,243.897,268.192,247.327,277.235,252.885,252.116,249.018,286.558,276.165,254.543,239.362,,253.422,254.472,269.375,247.068,135.182,224.248,182.387,150.692,113.741,112.161,,,106.476,117.526,142.842,167.028,234.687,196.895,215.831,231.163,244.07,257.981,230.342,252.188,264.321,306.908,263.928,250.038,257.272,289.309,261.598,254.806,272.545
11.25,473.435,471.668,473.328,471.844,473.333,471.993,473.495,472.376,472.433,472.107,473.557,473.505,472.445,471.544,,472.348,472.599,473.26,471.333,334.051,467.679,441.093,401.3,307.742,303.309,,,289.578,316.681,393.532,430.647,470.127,462.263,468.184,470.944,471.823,472.569,470.767,472.186,472.849,474.055,472.889,472.275,472.578,473.667,472.728,472.615,473.312
15.0,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,,473.457,473.457,473.457,473.457,468.291,473.467,473.705,480.479,490.876,489.384,,,482.075,493.426,477.823,473.5,473.46,473.47,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
18.75,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,,473.457,473.457,473.457,473.457,488.687,473.457,473.457,474.277,499.978,500.0,,,499.978,499.978,473.692,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
22.5,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,,473.457,473.457,473.457,473.457,487.599,473.457,473.457,474.272,499.295,499.808,,,499.965,498.332,473.67,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
26.25,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,,473.457,473.457,473.457,473.457,486.916,473.457,473.457,474.256,499.251,499.636,,,499.948,498.04,473.678,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
30.0,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,,473.457,473.457,473.457,473.457,487.966,473.457,473.457,474.275,500.0,499.977,,,499.989,499.994,473.689,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457,473.457
