time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
8.392361,0.029979246,22.149055,8.392361,0.029979246,17.724707,8.392361,30.469137,8.392361,28.037039,8.392361,23.555555,8.392361,51.11111,8.392361,0.0,8.392361,173.33333,8.392361,974.3087,8.392361,16.987167,8.392361,0.0,8.392361,0.0,8.392361,0.0,8.392361,0.16345006,8.392361,0.1688289,8.392361,26.412224,8.392361,26.118887,8.392361,26.151112,8.392361,20260108,8.392361,092500,8.392361,2026.0,8.392361,1.0,8.392361,8.0,8.392361,9.0,8.392361,25.0,8.392361,0.0,8.392361,-1.0,8.392361,-999.0,8.392361,-999.0,8.392361,-999.0,8.392361,3.9128888,8.392361,2500.0,8.392361,0.029979246,4683.116,8.392361,0.029979246,3597.1963,8.392361,,8.392361,,8.392361,,8.392361,,8.392361,,8.392361,,8.392361,,8.392361,,8.392361,0.11991698,0.21910551,8.392361,0.11991698,0.010505686,,,,,,,,,,,,,8.392361,0.0,0.0,,8.392361,0.0,1.8587133,8.392361,0.11991698,0.02841206,8.392361,0.11991698,27.625011,8.392361,0.11991698,0.00094706874,8.392361,0.11991698,0.045750227,8.392361,0.11991698,6.0,8.392361,0.0,WaterCloud,8.392361,30.0,8.392361,
8.392361,0.05995849,8.779636,8.392361,0.05995849,1.1230998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.05995849,1835.2174,8.392361,0.05995849,195.56532,,,,,,,,,,,,,,,,,8.392361,0.14989623,0.21599156,8.392361,0.14989623,0.010383743,,,,,,,,,,,,,8.392361,0.0,1.0,,8.392361,1.0,,8.392361,0.14989623,0.027629644,8.392361,0.14989623,27.62157,8.392361,0.14989623,0.0009209882,8.392361,0.14989623,0.045869604,8.392361,0.14989623,6.0,8.392361,1.0,MixedCloud,,,,
8.392361,0.08993774,8.166652,8.392361,0.08993774,0.82091326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.08993774,1704.6567,8.392361,0.08993774,133.77867,,,,,,,,,,,,,,,,,8.392361,0.17987548,0.21225457,8.392361,0.17987548,0.0102586895,,,,,,,,,,,,,8.392361,0.0,2.0,,8.392361,2.0,,8.392361,0.17987548,0.026686283,8.392361,0.17987548,27.617418,8.392361,0.17987548,0.0008895428,8.392361,0.17987548,0.04610314,8.392361,0.17987548,6.0,8.392361,2.0,Ice/dust/ash,,,,
8.392361,0.11991698,7.709877,8.392361,0.11991698,0.6851257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.11991698,1607.3588,8.392361,0.11991698,105.84269,,,,,,,,,,,,,,,,,8.392361,0.20985472,0.20874774,8.392361,0.20985472,0.01024897,,,,,,,,,,,,,8.392361,1.0,0.0,,8.392361,3.0,,8.392361,0.20985472,0.025828552,8.392361,0.20985472,27.613647,8.392361,0.20985472,0.0008609517,8.392361,0.20985472,0.046799194,8.392361,0.20985472,6.0,8.392361,3.0,Rain/Dust,,,,
8.392361,0.14989623,7.2889633,8.392361,0.14989623,0.60788333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.14989623,1517.8173,8.392361,0.14989623,90.091705,,,,,,,,,,,,,,,,,8.392361,0.23983397,0.20613624,8.392361,0.23983397,0.010008523,,,,,,,,,,,,,8.392361,1.0,1.0,,8.392361,4.0,,8.392361,0.23983397,0.025214376,8.392361,0.23983397,27.610945,8.392361,0.23983397,0.00084047916,8.392361,0.23983397,0.04630694,8.392361,0.23983397,6.0,8.392361,4.0,Molecular,,,,
8.392361,0.17987548,6.8691506,8.392361,0.17987548,0.5557192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.17987548,1428.1532,8.392361,0.17987548,79.29703,,,,,,,,,,,,,,,,,8.392361,0.2698132,0.20770305,8.392361,0.2698132,0.010043594,,,,,,,,,,,,,8.392361,1.0,2.0,,8.392361,5.0,,8.392361,0.2698132,0.026060143,8.392361,0.2698132,27.614664,8.392361,0.2698132,0.0008686716,8.392361,0.2698132,0.046120685,8.392361,0.2698132,6.0,8.392361,5.0,CleanAerosol,,,,
8.392361,0.20985472,6.4596014,8.392361,0.20985472,0.5204968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.20985472,1340.8619,8.392361,0.20985472,72.039154,,,,,,,,,,,,,,,,,8.392361,0.29979247,0.20816447,8.392361,0.29979247,0.009887302,,,,,,,,,,,,,8.392361,2.0,0.0,,8.392361,6.0,,8.392361,0.29979247,0.026480831,8.392361,0.29979247,27.616516,8.392361,0.29979247,0.00088269426,8.392361,0.29979247,0.045343827,8.392361,0.29979247,6.0,8.392361,6.0,PollutedAerosol,,,,
8.392361,0.23983397,6.077525,8.392361,0.23983397,0.48533392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.23983397,1259.7623,8.392361,0.23983397,64.81327,,,,,,,,,,,,,,,,,8.392361,0.3297717,0.2114156,8.392361,0.3297717,0.010007724,,,,,,,,,,,,,8.392361,2.0,1.0,,8.392361,7.0,,8.392361,0.3297717,0.027883777,8.392361,0.3297717,27.622688,8.392361,0.3297717,0.00092945923,8.392361,0.3297717,0.045199253,8.392361,0.3297717,6.0,8.392361,7.0,Undetected,,,,
8.392361,0.2698132,5.72185,8.392361,0.2698132,0.45902124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.2698132,1183.7528,8.392361,0.2698132,59.327854,,,,,,,,,,,,,,,,,8.392361,0.35975096,0.21806027,8.392361,0.35975096,0.010244627,,,,,,,,,,,,,8.392361,2.0,2.0,,8.392361,8.0,,8.392361,0.35975096,0.030488912,8.392361,0.35975096,27.63415,8.392361,0.35975096,0.0010162969,8.392361,0.35975096,0.04486744,8.392361,0.35975096,6.0,,,,,,,
8.392361,0.29979247,5.336249,8.392361,0.29979247,0.4305816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.29979247,1101.9086,8.392361,0.29979247,53.64995,,,,,,,,,,,,,,,,,8.392361,0.3897302,0.22254927,8.392361,0.3897302,0.010666106,,,,,,,,,,,,,8.392361,3.0,0.0,,8.392361,9.0,,8.392361,0.3897302,0.032319665,8.392361,0.3897302,27.642204,8.392361,0.3897302,0.0010773223,8.392361,0.3897302,0.04572795,8.392361,0.3897302,6.0,,,,,,,
8.392361,0.3297717,4.978908,8.392361,0.3297717,0.40913284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.3297717,1025.6362,8.392361,0.3297717,49.146317,,,,,,,,,,,,,,,,,8.392361,0.41970944,0.22869894,8.392361,0.41970944,0.010641523,,,,,,,,,,,,,8.392361,3.0,1.0,,,,,8.392361,0.41970944,0.03480428,8.392361,0.41970944,27.653137,8.392361,0.41970944,0.0011601427,8.392361,0.41970944,0.044450156,8.392361,0.41970944,6.0,,,,,,,
8.392361,0.35975096,4.6428976,8.392361,0.35975096,0.38929048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.35975096,954.066,8.392361,0.35975096,45.170994,,,,,,,,,,,,,,,,,8.392361,0.4496887,0.23538814,8.392361,0.4496887,0.011143013,,,,,,,,,,,,,8.392361,3.0,2.0,,,,,8.392361,0.4496887,0.03746938,8.392361,0.4496887,27.664864,8.392361,0.4496887,0.0012489794,8.392361,0.4496887,0.045197573,8.392361,0.4496887,6.0,,,,,,,
8.392361,0.3897302,4.297724,8.392361,0.3897302,0.37501118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.392361,0.3897302,880.5398,8.392361,0.3897302,42.218784,,,,,,,,,,,,,,,,,8.392361,0.47966793,0.24113533,8.392361,0.47966793,0.011564198,,,,,,,,,,,,,8.392361,4.0,0.0,,,,,8.392361,0.47966793,0.039778594,8.392361,0.47966793,27.675028,8.392361,0.47966793,0.0013259532,8.392361,0.47966793,0.04576477,8.392361,0.47966793,6.0,,,,,,,
